B_index,POSCAR_index,x_A,y_A,z_A,coordination_B,n_ring_3,n_ring_4,n_ring_5,n_ring_6,n_ring_7,n_ring_8
86,140,10.030576,5.252052,4.920253,5,3,0,0,1,1,3
87,141,12.397054,5.919729,8.168413,6,4,0,1,0,1,0
88,142,13.140443,1.451934,0.715252,5,4,0,1,0,0,0
89,143,13.661033,4.099548,0.400559,6,6,0,0,0,0,0
90,144,12.411831,2.167472,5.851713,4,1,0,0,0,1,1
91,145,11.737918,2.545916,8.948115,5,3,0,0,2,1,0
92,146,10.939455,2.167055,7.069560,4,2,0,0,0,1,0
93,147,10.092012,6.963696,4.289010,6,4,0,0,2,1,2
94,148,12.401445,0.940819,2.097906,5,3,0,0,1,1,1
95,149,11.508194,1.985381,1.405060,6,5,0,0,1,0,1
96,150,12.731704,1.629604,7.419155,6,5,0,0,0,1,0
97,151,8.167397,2.793110,7.593404,5,3,0,1,0,1,0
98,152,10.601060,5.368615,7.927095,6,5,0,1,0,1,0
99,153,13.063477,1.549030,9.179065,6,5,0,0,3,0,0
100,154,7.623633,0.231935,2.277568,7,7,0,0,1,0,1
101,155,11.680938,4.353216,9.273695,6,5,0,0,2,1,0
102,156,9.766836,6.678234,9.329652,5,3,0,2,0,0,0
103,157,11.779900,6.248848,1.828663,8,9,0,2,1,0,0
104,158,13.953828,8.124077,5.085563,6,5,0,0,0,4,0
105,159,8.332745,3.754302,8.985547,5,2,0,2,0,1,0
106,160,14.489945,8.040852,3.191390,6,5,0,3,0,1,1
107,161,4.603559,15.988757,5.152457,5,5,0,0,0,0,0
108,162,3.709606,16.222525,6.550985,4,2,0,1,0,0,0
109,163,6.068347,8.339802,2.361790,5,3,0,2,0,0,0
110,164,6.408470,14.587587,4.637577,5,3,0,0,3,0,0
111,165,3.730297,8.868277,6.719202,5,4,0,0,0,0,0
112,166,2.790145,8.941663,2.216836,4,1,0,4,2,0,0
113,167,0.401384,8.987203,0.066432,4,2,0,0,0,1,2
114,168,7.186946,8.623046,9.008067,5,4,0,0,3,0,0
115,169,0.381337,13.536439,1.803600,2,0,0,0,0,0,0
116,170,1.935079,10.008738,7.010145,6,4,0,2,0,0,0
117,171,6.086844,15.189624,6.142915,5,3,0,1,1,0,0
118,172,7.129406,10.136489,8.185292,5,2,1,3,2,0,0
119,173,1.772642,8.741945,3.615890,4,1,0,4,1,0,0
120,174,2.697711,8.634790,8.036165,6,5,0,1,0,0,0
121,175,6.960458,11.961217,5.896637,6,3,0,5,0,0,0
122,176,3.682573,10.175182,5.602745,6,6,0,0,0,0,0
123,177,2.095255,15.982483,3.477982,3,1,0,1,0,0,0
124,178,3.525729,15.913836,0.669075,4,3,0,0,0,0,0
125,179,1.234863,11.197153,7.935602,6,4,0,4,0,0,0
126,180,3.392475,11.846229,6.661461,6,4,0,2,0,0,0
127,181,2.674803,12.691525,1.124839,5,3,0,0,0,2,0
128,182,4.070545,14.398096,5.884513,7,6,0,2,0,0,0
129,183,3.786648,14.100693,1.988929,5,3,0,0,3,1,0
130,184,4.352174,14.133746,3.768373,6,5,0,0,3,1,0
131,185,1.030273,15.572213,6.356967,7,7,0,2,0,1,0
132,186,0.534451,12.707468,6.415136,8,9,0,2,0,0,0
133,187,1.405395,12.854180,8.343274,6,6,0,1,0,0,0
134,188,1.107111,14.458759,9.172531,6,5,0,0,2,0,0
135,189,5.542771,9.773253,1.104978,6,5,0,0,4,0,0
136,190,4.683704,12.057705,7.896252,7,7,0,2,0,0,0
137,191,4.109667,13.540674,9.164556,6,5,0,2,0,0,0
138,192,1.733355,15.762010,8.114151,6,5,0,2,0,0,0
139,193,2.548665,14.000801,8.242663,6,5,0,2,0,0,0
140,194,5.389432,14.233819,7.720425,7,6,0,2,0,0,0
141,195,5.848492,11.045310,8.608147,7,7,1,2,1,0,0
142,196,2.643765,14.777717,6.659258,7,6,0,3,0,0,0
143,197,1.350628,13.951774,5.495843,7,8,0,0,0,0,0
144,198,5.200477,11.307870,1.886863,5,3,0,0,4,1,0
145,199,4.561135,9.387228,2.816055,5,3,0,0,2,0,0
146,200,2.379830,13.071938,6.932617,6,5,0,2,0,0,0
147,201,4.511433,10.346270,6.917169,6,4,1,2,0,0,0
148,202,5.239399,14.638636,0.904083,6,5,0,0,3,0,0
149,203,0.466378,14.819822,4.281008,5,3,1,1,0,0,0
150,204,4.609222,12.688286,1.257226,6,5,0,0,4,1,0
151,205,4.703200,11.109509,3.470381,6,4,0,0,3,1,0
152,206,3.259677,11.369665,4.455379,6,5,0,0,1,2,0
153,207,6.203554,12.553986,7.677875,6,5,0,4,0,0,0
154,208,7.033142,13.922725,8.654524,7,6,0,3,2,0,0
155,209,6.873806,14.974138,1.685988,6,5,0,0,3,0,0
156,210,6.910064,10.970303,1.441476,6,4,0,0,5,0,0
157,211,4.218044,12.807875,4.725012,6,5,0,1,1,1,0
158,212,0.206121,10.770204,6.640415,7,6,0,2,0,0,0
159,213,7.234477,8.975087,1.134814,6,5,0,0,4,0,0
160,214,2.316821,10.035165,4.838174,5,3,0,1,1,0,0
161,215,1.916038,9.265853,0.638907,5,3,0,1,2,2,1
162,216,1.608247,11.151984,3.716698,4,1,0,1,0,2,0
