B_index,POSCAR_index,x_A,y_A,z_A,coordination_B,n_ring_3,n_ring_4,n_ring_5,n_ring_6,n_ring_7,n_ring_8
257,311,3.799221,4.313661,12.917959,6,5,0,0,2,0,0
258,312,1.583270,3.133398,15.477895,6,5,0,0,5,0,0
259,313,1.259803,0.284073,14.892820,6,5,0,0,5,0,0
260,314,2.732941,3.692321,12.043373,6,5,0,0,2,0,0
261,315,2.963162,2.283198,15.228002,6,5,0,0,4,0,0
262,316,4.708670,6.444983,15.069703,6,5,0,0,5,0,0
263,317,6.582540,0.358884,11.651415,5,3,0,0,7,0,0
264,318,5.792435,6.527859,13.503889,6,5,0,0,4,0,0
265,319,3.640359,1.549176,16.518470,5,3,0,0,3,0,0
266,320,4.110738,6.253596,13.153999,6,5,0,0,3,0,0
267,321,1.552623,4.928171,10.493904,6,5,0,0,2,1,0
268,322,3.523059,5.286490,14.458072,6,5,0,0,5,0,0
269,323,3.223530,3.419874,10.073634,6,5,0,0,2,0,0
270,324,5.290809,5.311316,12.436460,5,5,0,0,0,0,0
271,325,1.060203,1.450512,11.248464,6,5,0,0,3,0,0
272,326,2.707820,2.151130,11.343722,5,5,0,0,0,0,0
273,327,1.035847,4.284970,12.016513,6,5,0,0,3,0,0
274,328,6.283290,5.797620,15.042080,6,5,0,0,4,0,0
275,329,1.414506,2.602022,12.603341,6,5,0,0,4,0,0
276,330,6.072505,1.782217,12.824413,5,1,0,1,8,0,0
277,331,0.891641,5.243916,13.591970,5,3,0,0,3,0,0
278,332,6.902570,2.431013,16.034716,6,5,0,1,1,0,0
279,333,1.906782,5.789747,14.993766,6,5,0,0,5,0,0
280,334,1.111312,5.797992,16.572969,6,4,0,0,3,0,0
281,335,0.776467,4.549234,15.135687,6,5,0,0,5,0,0
282,336,6.838074,4.915529,13.554340,6,5,0,0,4,0,0
283,337,6.565793,1.224073,14.483952,6,5,0,1,2,0,0
284,338,7.098925,2.767842,11.535826,4,1,0,1,6,0,0
285,339,0.435969,0.392222,16.590730,6,4,0,1,2,0,0
286,340,0.104404,2.276210,9.789881,6,5,0,0,3,0,0
287,341,0.609437,2.223167,16.927078,6,5,0,0,1,0,0
288,342,7.912646,0.119468,15.102039,6,5,0,0,5,0,0
289,343,14.596353,1.398711,18.585747,7,5,1,1,0,0,0
290,344,7.756045,5.241141,9.656801,3,1,0,1,0,0,0
291,345,12.207893,4.969003,18.782143,6,7,0,0,0,0,0
292,346,14.471999,7.856112,9.870015,4,1,1,0,0,1,0
293,347,14.228742,3.061362,18.041833,5,3,1,0,1,0,0
294,348,9.508870,4.250534,17.782151,6,4,2,1,1,0,0
295,349,9.142268,2.541483,18.155161,5,3,1,0,3,0,0
296,350,11.527781,2.821450,15.456790,6,5,0,0,2,0,0
297,351,9.278312,6.564650,15.366663,6,5,0,0,4,0,0
298,352,10.822840,7.012497,12.818437,7,8,0,0,4,0,0
299,353,12.498586,7.652539,12.433660,5,5,0,0,0,0,0
300,354,7.860417,7.957178,18.552470,6,5,0,0,4,0,0
301,355,11.163662,4.866897,17.470449,6,5,1,1,0,0,0
302,356,7.642879,6.293441,16.077990,6,5,0,0,4,0,0
303,357,8.226530,1.662052,16.993131,6,5,0,0,3,0,0
304,358,10.931537,3.966864,14.199847,6,5,0,1,5,0,0
305,359,8.348745,1.827627,15.227549,6,5,0,0,2,0,0
306,360,9.236312,6.733377,12.413482,5,3,0,0,4,0,0
307,361,11.607595,1.414069,10.404619,5,3,0,0,4,0,0
308,362,7.351268,0.632001,9.699396,5,3,0,1,3,0,0
309,363,14.669943,4.058583,10.366847,6,5,0,0,2,2,0
310,364,13.107256,6.887531,9.790933,4,2,0,0,0,1,0
311,365,14.274964,7.663252,18.233275,3,1,0,0,0,2,0
312,366,9.092717,6.863001,18.746594,6,5,0,2,4,0,0
313,367,8.639474,5.480208,17.173834,6,5,1,1,1,0,0
314,368,13.451887,6.577684,13.787574,6,4,0,0,1,0,0
315,369,10.192683,6.488741,17.129293,6,5,1,1,0,0,0
316,370,13.192691,5.091264,9.901704,6,5,0,0,2,2,0
317,371,11.766870,4.835369,11.346287,6,5,0,0,5,0,0
318,372,14.631672,7.394778,16.701249,4,2,0,0,0,2,0
319,373,13.300137,2.167436,14.680593,6,5,0,0,4,0,0
320,374,13.780800,4.745396,14.381105,6,4,0,0,5,0,0
321,375,14.650693,1.465961,15.326267,6,5,0,0,4,0,0
322,376,12.660228,0.134799,9.803223,6,5,0,0,5,0,0
323,377,10.284038,6.313191,11.088901,6,5,0,0,2,0,0
324,378,11.944448,0.168522,16.121357,6,4,0,0,5,0,0
325,379,11.825341,6.842856,14.198717,6,6,0,0,3,0,0
326,380,10.203869,4.922271,9.824691,6,5,0,1,0,1,0
327,381,12.411462,1.063211,13.236641,6,5,0,0,5,0,0
328,382,13.879395,5.020503,16.196693,5,3,0,0,2,0,0
329,383,11.552345,0.571348,17.815786,5,3,0,1,3,0,0
330,384,10.110214,5.600015,14.129260,6,3,0,1,9,0,0
331,385,11.399309,2.047062,18.380436,6,3,1,1,3,0,0
332,386,8.436215,7.953761,15.527245,6,5,0,0,5,0,0
333,387,7.478579,6.277816,18.213946,7,6,0,0,4,0,0
334,388,14.595921,2.798231,11.734586,6,5,0,0,5,0,0
335,389,8.698373,3.323686,12.096428,4,2,0,1,1,0,0
336,390,11.294117,3.094468,17.116373,5,2,1,0,2,0,0
337,391,10.111825,2.830447,12.868502,6,5,0,1,0,0,0
338,392,13.064334,2.469660,12.808016,6,5,0,0,5,0,0
339,393,12.996393,4.162653,17.413662,6,4,0,0,2,0,0
340,394,10.562603,1.255333,13.301511,6,5,0,0,4,0,0
341,395,10.744706,0.031453,9.791499,5,4,0,0,2,0,0
342,396,12.983563,6.089721,15.182336,4,3,0,0,1,0,0
343,397,9.953953,2.317011,14.581033,6,5,0,0,2,0,0
344,398,7.422731,0.095774,17.861288,6,5,0,0,5,0,0
345,399,12.010220,6.491811,11.293246,6,5,0,0,1,0,0
346,400,11.313114,1.096741,14.769066,6,5,0,0,5,0,0
347,401,11.522113,3.703474,12.565054,6,5,0,0,5,0,0
348,402,11.529018,1.904999,12.095392,6,5,0,0,4,0,0
349,403,8.381137,5.158500,12.783705,5,2,0,1,4,0,0
350,404,12.536382,3.606942,14.158766,6,5,0,0,5,0,0
351,405,8.169779,4.279420,11.029031,5,3,0,1,1,0,0
352,406,4.507546,11.676264,9.841923,6,5,0,0,2,0,0
353,407,5.854540,16.241505,17.241331,6,5,0,0,4,0,0
354,408,2.812925,15.219082,17.946855,5,3,0,0,2,0,0
355,409,3.063877,10.730574,10.564493,6,4,0,0,2,0,0
356,410,2.274892,16.204453,16.438310,5,3,0,0,2,0,0
357,411,1.543739,10.739136,9.701079,5,3,0,2,0,0,0
358,412,1.298563,8.234004,12.679778,7,6,0,0,2,0,0
