x_B,P_GPa,k,S_cc,S_cc0_M2
0.7,0,1.2400,1.314549e-01,4.080927e-01
0.7,0,1.2500,1.321310e-01,4.080927e-01
0.7,0,1.2600,1.176536e-01,4.080927e-01
0.7,0,1.2800,1.304120e-01,4.080927e-01
0.7,0,1.3300,1.346938e-01,4.080927e-01
0.7,0,1.3400,1.318317e-01,4.080927e-01
0.7,0,1.3500,1.340426e-01,4.080927e-01
0.7,0,1.3900,1.256026e-01,4.080927e-01
0.7,0,1.4000,1.451356e-01,4.080927e-01
0.7,0,1.4400,1.457254e-01,4.080927e-01
0.7,0,1.4700,1.582463e-01,4.080927e-01
0.7,0,1.4800,1.477034e-01,4.080927e-01
0.7,0,1.5000,1.601448e-01,4.080927e-01
0.7,0,1.5100,1.700933e-01,4.080927e-01
0.7,0,1.5200,1.996900e-01,4.080927e-01
0.7,0,1.5300,1.610286e-01,4.080927e-01
0.7,0,1.5400,1.513232e-01,4.080927e-01
0.7,0,1.5600,1.491860e-01,4.080927e-01
0.7,0,1.5700,1.715814e-01,4.080927e-01
0.7,0,1.5800,1.690674e-01,4.080927e-01
0.7,0,1.6100,1.947843e-01,4.080927e-01
0.7,0,1.6700,2.157302e-01,4.080927e-01
0.7,0,1.6900,1.765966e-01,4.080927e-01
0.7,0,1.7000,2.083046e-01,4.080927e-01
0.7,0,1.7200,2.449031e-01,4.080927e-01
0.7,0,1.7300,2.326956e-01,4.080927e-01
0.7,0,1.7400,2.585618e-01,4.080927e-01
0.7,0,1.7500,2.144663e-01,4.080927e-01
0.7,0,1.7600,2.476462e-01,4.080927e-01
0.7,0,1.7900,2.246440e-01,4.080927e-01
0.7,0,1.8000,2.557003e-01,4.080927e-01
0.7,0,1.8100,2.601197e-01,4.080927e-01
0.7,0,1.8200,2.581012e-01,4.080927e-01
0.7,0,1.8400,2.728261e-01,4.080927e-01
0.7,0,1.8700,2.753809e-01,4.080927e-01
0.7,0,1.8900,2.881555e-01,4.080927e-01
0.7,0,1.9000,2.940738e-01,4.080927e-01
0.7,0,1.9200,2.874881e-01,4.080927e-01
0.7,0,1.9300,2.840854e-01,4.080927e-01
0.7,0,1.9400,2.758724e-01,4.080927e-01
0.7,0,1.9500,2.887833e-01,4.080927e-01
0.7,0,1.9700,3.078104e-01,4.080927e-01
0.7,0,2.0100,3.133186e-01,4.080927e-01
0.7,0,2.0500,2.888245e-01,4.080927e-01
0.7,0,2.0600,3.233346e-01,4.080927e-01
0.7,0,2.0700,3.203556e-01,4.080927e-01
0.7,0,2.0900,3.480839e-01,4.080927e-01
0.7,0,2.1000,3.560248e-01,4.080927e-01
0.7,0,2.1200,3.000179e-01,4.080927e-01
0.7,0,2.1300,3.284427e-01,4.080927e-01
0.7,0,2.1500,3.177747e-01,4.080927e-01
0.7,0,2.1600,3.546009e-01,4.080927e-01
0.7,0,2.1700,3.247924e-01,4.080927e-01
0.7,0,2.2200,3.189247e-01,4.080927e-01
0.7,0,2.2400,3.255628e-01,4.080927e-01
0.7,0,2.2500,3.439563e-01,4.080927e-01
0.7,0,2.2600,3.132327e-01,4.080927e-01
0.7,0,2.2700,3.036306e-01,4.080927e-01
0.7,0,2.3300,3.062694e-01,4.080927e-01
