frame,timestep,group,system,region,element,n_atoms,target_z,z_tolerance,msd,msd_x,msd_y,msd_z,drift_x,drift_y,drift_z
6830,683000,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.2322744077325,4.577579120436217,5.240480434084559,0.4142148532117227,-0.008366631393423418,-0.00153396804633843,0.07986644816940824
6831,683100,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.42091481397635,4.375331795936405,5.538779020595581,0.5068039974443671,-0.0076761741684086,-0.001410150504474572,0.07335143849804027
6832,683200,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.40958443288164,4.419873630927056,5.462931757441647,0.5267790445129393,-0.00701233701133841,-0.001293263785246523,0.06710435313704366
6833,683300,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.43551692717365,4.579446461582767,5.386011016570674,0.4700594490202101,-0.007671830464658136,-0.001409423827695377,0.07331538638645085
6834,683400,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.04992073960472,4.129506562902894,5.381350082061654,0.5390640946401708,-0.008521943641757623,-0.001560979909672966,0.08132519445915065
6835,683500,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.26173519473796,4.314473208153087,5.488934501361103,0.4583274852237751,-0.008182632606117402,-0.001500969919504769,0.07812395027168506
6836,683600,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.27883464888409,4.323696594994767,5.481419556501173,0.4737184973881448,-0.007324581160923493,-0.001349194004507837,0.07004861237297533
6837,683700,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.29375498766524,4.372429267413534,5.458745747670022,0.4625799725816859,-0.007320125793213172,-0.001347077810619268,0.07001314266303993
6838,683800,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.33597137142347,4.41474401966564,5.45149564726238,0.4697317044954534,-0.008000667638143,-0.001467329506981585,0.07640762025955894
6839,683900,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.24380455333328,4.242497093514315,5.591552790212678,0.4097546696062815,-0.008057123748173467,-0.00147946668735166,0.07694633084729219
6840,684000,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.50485436545024,4.507270054292044,5.601472798274751,0.3961115128834413,-0.007628952216990115,-0.001400835253328125,0.07291884967887441
6841,684100,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.62156111843777,4.418245433063009,5.778093625922796,0.4252220594519651,-0.007587034759826139,-0.001395866165490034,0.07251846674255447
6842,684200,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.41205670845284,4.450719019768088,5.395178282283831,0.566159406400919,-0.008187127736354327,-0.001502202513234963,0.07817327847502398
6843,684300,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.39723513911434,4.508362230963464,5.304199742949437,0.584673165201443,-0.008230015837093596,-0.001509861757387654,0.07857128566133653
6844,684400,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.12634631041779,4.455636934756734,5.122395329900802,0.5483140457602548,-0.007627246521911601,-0.001401102753897376,0.07290020543492304
6845,684500,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.26269837313937,4.476760552631535,5.253846281342523,0.5320915391653113,-0.007658614372785699,-0.001407869503532666,0.07319339137827896
6846,684600,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.48704325407259,4.398694345032238,5.516431262770613,0.5719176462697434,-0.008151121577874676,-0.001496120502341824,0.07783198570399819
6847,684700,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.21793486037428,4.321748709449372,5.350408751034894,0.5457773998900197,-0.007737408681429692,-0.001422560251183924,0.07393994715848606
