pressure_GPa,temperature_K,phase,x_B,formation_eV_atom,energy_above_hull_eV_atom,stable,raw_energy_cell_eV,pv_cell_eV,corrected_energy_atom_eV,vib_energy_atom_eV,total_energy_atom_eV
0,0,Fe,0.0,0.0,0.0,True,-8.282217049329235,0.0,-8.282217049329235,0.0,-8.282217049329235
0,0,Fe2B,0.3333333333333333,-0.3374683331291699,0.0,True,-48.45550277096912,0.0,-8.075917128494853,0.0,-8.075917128494853
0,0,Fe3B,0.25,-0.24524696140709246,0.007854288439784973,False,-129.91420512421863,0.0,-8.119637820263664,0.0,-8.119637820263664
0,0,Fe23B6,0.20689655172413793,-0.19718705137601678,0.012276051945536964,False,-236.11489034910835,0.0,-8.14189277065891,0.0,-8.14189277065891
0,0,FeB,0.5,-0.39427960654717076,0.0,True,-31.44337709972431,0.0,-7.860844274931077,0.0,-7.860844274931077
0,0,FeB2,0.6666666666666666,-0.3298751920754439,0.0,True,-90.2946688017309,0.0,-7.524555733477574,0.0,-7.524555733477574
0,0,FeB4,0.8,-0.2336435525104692,0.0,True,-72.1081679232718,0.0,-7.210816792327179,0.0,-7.210816792327179
0,0,boron,1.0,0.0,0.0,True,-79.81094744926294,0.0,-6.650912287438579,0.0,-6.650912287438579
0,1800,Fe,0.0,0.0,0.0,True,-8.282217049329235,0.0,-8.282217049329235,-0.8236345530577213,-9.105851602386956
0,1800,Fe2B,0.3333333333333333,-0.3807813815391672,0.0,True,-48.45550277096912,0.0,-8.075917128494853,-0.6952080182261713,-8.771125146721024
0,1800,Fe3B,0.25,-0.2974996816251334,0.0,True,-129.91420512421863,0.0,-8.119637820263664,-0.7470825858445999,-8.866720406108264
0,1800,Fe23B6,0.20689655172413793,-0.2274236464064927,0.018782986662583212,False,-236.11489034910835,0.0,-8.14189277065891,-0.7472741653865465,-8.889166936045456
0,1800,FeB,0.5,-0.4231105957291508,0.0,True,-31.44337709972431,0.0,-7.860844274931077,-0.5948561673773817,-8.455700442308459
0,1800,FeB2,0.6666666666666666,-0.30149443174793866,0.010517547227215318,False,-90.2946688017309,0.0,-7.524555733477574,-0.4517746262471225,-7.976330359724697
0,1800,FeB4,0.8,-0.22313308557195644,0.0,True,-72.1081679232718,0.0,-7.210816792327179,-0.4009490863394965,-7.6117658786666755
0,1800,boron,1.0,0.0,0.0,True,-79.81094744926294,0.0,-6.650912287438579,-0.3084158033330807,-6.95932809077166
5,0,Fe,0.0,0.0,0.0,True,-8.278183152911435,0.3504150755359107,-7.927768077375524,0.0,-7.927768077375524
5,0,Fe2B,0.3333333333333333,-0.3737295564309724,0.0,True,-48.42837531780633,1.6198303194337256,-7.801424166395434,0.0,-7.801424166395434
5,0,Fe3B,0.25,-0.26446572536171065,0.015831441961518644,False,-129.85899330683242,4.78413407196942,-7.817178702178937,0.0,-7.817178702178937
5,0,Fe23B6,0.20689655172413793,-0.20932803844754044,0.02264203106133897,False,-236.0076600925825,9.033195147112767,-7.826705687774819,0.0,-7.826705687774819
5,0,FeB,0.5,-0.4362529659747514,0.0,True,-31.431378683107976,0.9757353141732531,-7.613910842233681,0.0,-7.613910842233681
5,0,FeB2,0.6666666666666666,-0.37723086278484885,0.0,True,-90.27731002221562,2.619085958156656,-7.304852005338247,0.0,-7.304852005338247
5,0,FeB4,0.8,-0.26259613012562966,0.0,True,-72.08601468224867,2.184135825102648,-6.990187885714603,0.0,-6.990187885714603
5,0,boron,1.0,0.0,0.0,True,-79.78004785952902,2.6494757578210044,-6.427547675142335,0.0,-6.427547675142335
5,1800,Fe,0.0,0.0,0.0,True,-8.278183152911435,0.3504150755359107,-7.927768077375524,-0.8043010485866359,-8.73206912596216
5,1800,Fe2B,0.3333333333333333,-0.403397791957957,0.0,True,-48.42837531780633,1.6198303194337256,-7.801424166395434,-0.665889630089706,-8.46731379648514
5,1800,Fe3B,0.25,-0.3177751934234152,0.0,True,-129.85899330683242,4.78413407196942,-7.817178702178937,-0.7315507761304049,-8.548729478309342
5,1800,Fe23B6,0.20689655172413793,-0.23952076475892703,0.023465602212175196,False,-236.0076600925825,9.033195147112767,-7.826705687774819,-0.7301684724004212,-8.55687416017524
5,1800,FeB,0.5,-0.4622249428271257,0.0,True,-31.431378683107976,0.9757353141732531,-7.613910842233681,-0.5781535444031396,-8.19206438663682
5,1800,FeB2,0.6666666666666666,-0.35078211946630766,0.0,True,-90.27731002221562,2.619085958156656,-7.304852005338247,-0.4416929972202675,-7.7465450025585145
5,1800,FeB4,0.8,-0.2521023411971104,0.0,True,-72.08601468224867,2.184135825102648,-6.990187885714603,-0.3904160900007236,-7.380603975715326
5,1800,boron,1.0,0.0,0.0,True,-79.78004785952902,2.6494757578210044,-6.427547675142335,-0.3000620865148948,-6.727609761657229
10,0,Fe,0.0,0.0,0.0,True,-8.267879306760417,0.6868380093470953,-7.5810412974133214,0.0,-7.5810412974133214
10,0,Fe2B,0.3333333333333333,-0.4115630685145666,0.0,True,-48.36398239040274,3.1520266436554505,-7.535325957791215,0.0,-7.535325957791215
10,0,Fe3B,0.25,-0.2833825310725908,0.025289770313334126,False,-129.70273039740152,9.359290039267027,-7.521465022383406,0.0,-7.521465022383406
10,0,Fe23B6,0.20689655172413793,-0.22153387461575402,0.033919064462252846,False,-235.7037226468373,17.66005400445423,-7.518747194564933,0.0,-7.518747194564933
10,0,FeB,0.5,-0.4775741909981175,0.0,True,-31.39955205967075,1.908760554845041,-7.372697876206427,0.0,-7.372697876206427
10,0,FeB2,0.6666666666666666,-0.42146622877304285,0.0,True,-90.22960341422827,5.174194895272077,-7.087950709913016,0.0,-7.087950709913016
10,0,FeB4,0.8,-0.2903210680850261,0.0,True,-72.02371545951188,4.28477359980859,-6.773894185970329,0.0,-6.773894185970329
10,0,boron,1.0,0.0,0.0,True,-79.69327206781838,5.18279919177881,-6.209206073003298,0.0,-6.209206073003298
10,1800,Fe,0.0,0.0,0.0,True,-8.267879306760417,0.6868380093470953,-7.5810412974133214,-0.7895444988741829,-8.370585796287504
10,1800,Fe2B,0.3333333333333333,-0.42448687787965866,0.0,True,-48.36398239040274,3.1520266436554505,-7.535325957791215,-0.636690537115314,-8.17201649490653
10,1800,Fe3B,0.25,-0.3351098035691882,0.0,True,-129.70273039740152,9.359290039267027,-7.521465022383406,-0.7169384430278116,-8.238403465411217
10,1800,Fe23B6,0.20689655172413793,-0.2534981672370833,0.023834083992589683,False,-235.7037226468373,17.66005400445423,-7.518747194564933,-0.7186122439013296,-8.237359438466264
10,1800,FeB,0.5,-0.4986645809936965,0.0,True,-31.39955205967075,1.908760554845041,-7.372697876206427,-0.5619682321838237,-7.9346661083902505
10,1800,FeB2,0.6666666666666666,-0.3961875411368201,0.0,True,-90.22960341422827,5.174194895272077,-7.087950709913016,-0.4327102689900419,-7.520660978903058
10,1800,FeB4,0.8,-0.27300166896090783,0.0,True,-72.02371545951188,4.28477359980859,-6.773894185970329,-0.37435844905256277,-7.148252635022892
10,1800,boron,1.0,0.0,0.0,True,-79.69327206781838,5.18279919177881,-6.209206073003298,-0.29221118550230724,-6.5014172585056045
