True_Energy_per_atom,Pred_Energy_per_atom
-6.850139559166667,-6.843446507993999
-7.000649444583334,-6.997863595327413
-7.086540581666667,-7.085160651541191
-13.2246039355,-13.2222665461212
-7.025783608958334,-7.026137483834397
-7.184649603958333,-7.183114426963651
-6.40210058875,-6.394217237429321
-7.168294197083333,-7.1662991566493055
-7.007844268333333,-7.007451306184273
-6.987441770833333,-6.988773819378701
-7.003174945833333,-7.00212039970364
-9.74927039925,-9.75167256578024
-6.194821442708334,-6.194170015683412
-6.964925219375,-6.965820042295721
-9.75742935325,-9.743256647084976
-12.5339031490625,-12.529618937055867
-10.9399200725,-10.93733361048174
-6.373376618958333,-6.374120084314904
-13.39904223425,-13.402056294301255
-6.893186338541667,-6.891071644267988
-12.092387204166668,-12.093425143179276
-6.256862829166667,-6.257568308929997
-6.1943011875,-6.196863447344726
-7.082894254375,-7.0817564023028945
-6.895578373333334,-6.892925053572696
-7.06193359125,-7.05926283426799
-7.0463207089583335,-7.046836406932388
-12.1388907145,-12.13642621276944
-7.025133782291667,-7.022040415397942
-12.514514665625,-12.510927162411077
-7.016358394166667,-7.015897015440423
-6.9731052531249995,-6.971485976739916
-7.1118840233333325,-7.111169895579029
-7.023579252291667,-7.0242139312588785
-7.199905417708333,-7.198573214741327
-7.209087614375,-7.2077031184732165
-11.279669176,-11.268300469607201
-6.388186996458334,-6.393099670258837
-7.096615097291667,-7.094905821451107
-6.302201748541666,-6.303684129034656
-6.97082202,-6.971378663790113
-12.07036393,-12.069091457494537
-7.077438284375,-7.076963832119922
-9.126932054166668,-9.125195158858377
-11.45003256425,-11.450188886782751
-6.9343923783333326,-6.930765751701437
-7.007314345625001,-7.006916537478954
-8.35560574625,-8.342765114795103
-6.298261375,-6.299379322687584
-6.985818861666666,-6.98503371798688
-6.3903805587499996,-6.393109521174662
-11.9376778895,-11.938970774995079
-6.361757006458333,-6.367052165743805
-6.9520215527083336,-6.952475192391387
-7.438877979,-7.434041869264225
-6.386395820208333,-6.377050210170449
-7.114218081874999,-7.113296612059216
-6.964116295208334,-6.965842713087064
-7.116080389375,-7.114829867748036
-7.172795983333334,-7.172081371366417
-6.971249396875,-6.970192780701654
-7.03436875625,-7.031130896844523
-6.32368856375,-6.328552633825186
-7.11641758,-7.115411083342674
-6.9500046427083335,-6.952644795231751
-6.9473110587499995,-6.946153182169926
-6.381466167708333,-6.376562479519766
-7.037826551458333,-7.036541978960681
-7.067861264375,-7.065795843035223
-12.090856657291667,-12.089581641930756
-6.863404456666667,-6.866326702670389
-12.012159068958333,-12.012442286069637
-12.5602020990625,-12.554846521280597
-6.93005549625,-6.9276329836565145
-6.9748757477083325,-6.975755257925626
-9.9863081915,-9.983434747439306
-6.318422555624999,-6.320979888749997
-7.163827321875,-7.163291663835639
-6.991478835,-6.990181463933902
-7.0176346545833335,-7.0166834844334245
-7.009135932083333,-7.010090640536784
-7.178636828125001,-7.177523148050621
-6.425757197916667,-6.422105150456464
-6.7032099885416665,-6.7068862225995325
-7.093299419791666,-7.092454292738505
-6.975641092083333,-6.973793686387949
-7.0993933318749995,-7.0979751859437945
-6.324244656875,-6.329187972823328
-6.964999167708334,-6.963583540708066
-6.709649087291666,-6.709932741772889
-11.36468214075,-11.355327713701746
-7.0387813560416665,-7.038384647736298
-6.3152938625,-6.3317416930537975
-9.757165138000001,-9.748018271942021
-6.6742858064999995,-6.70349837529124
-7.03688255625,-7.035548007567084
-12.18543102225,-12.18553169171194
-6.360438894375,-6.3624312009235675
-7.002313890833334,-7.001483677982644
-7.060450368125,-7.059435844924647
-7.0102773449999995,-7.011410106058327
-7.045631875208334,-7.043800115177226
-7.078009160208333,-7.0771752567718815
-6.937799776249999,-6.927028454375811
-6.33141832875,-6.325286714514056
-8.71079219775,-8.705875787893266
-7.171994611875,-7.17114012224076
-7.209517663958334,-7.208188310180461
-12.65062956125,-12.6464863108648
-6.3364055425,-6.329521548860235
-7.131176797916667,-7.130120574986603
-6.343921197708333,-6.346504504379959
-12.4828427534375,-12.47997005408218
-6.256874312291667,-6.251001785376691
-7.03839111,-7.038913746927304
-6.369551623333333,-6.365845767836485
-6.9982724175,-6.996489347563318
-12.663758994,-12.6603230734951
-7.029219057291667,-7.029810465237419
-7.083760641875,-7.0816964310314034
-6.985623108541667,-6.98662378696082
-6.297754208333333,-6.308140438979198
-11.48464936725,-11.480872396160834
-6.8579707927083335,-6.852047229688537
-6.320683969583333,-6.307127401532621
-6.975247250625,-6.971571528742647
-11.9881596495,-11.987965971985096
-8.71260761325,-8.707261496293684
-7.111216305416666,-7.10953922748723
-6.247331594166667,-6.241682503754633
-6.987744468541667,-6.986751624167983
-6.18253111375,-6.193996276289551
-6.300551609166667,-6.310228193666279
-7.024558084583333,-7.025332403673606
-7.190789639999999,-7.191028269151516
-8.926682207499999,-8.939002531478183
-7.196223723125001,-7.195489263115385
-12.6454935903125,-12.64212928321036
-6.967498791250001,-6.967903104059403
-6.285461596249999,-6.288574907956405
-7.027763105416667,-7.02692021313647
-11.26846220325,-11.264793078903978
-7.180220022708333,-7.178283481199057
-6.316480823958333,-6.311094140810646
-7.062359115,-7.063368245077327
-7.170104874166667,-7.169439986753069
-7.0117088347916665,-7.011931160971731
-13.285520854500001,-13.28538440371191
-6.28893822125,-6.283644202360325
-7.078072670208333,-7.077145608925836
-10.9607899675,-10.957841452373238
-10.44024601925,-10.435322607790521
-6.8302440127083335,-6.833337026352967
-12.93192692275862,-12.929307159968292
-7.117604576041667,-7.116480384523857
-6.388024868333333,-6.375530848997901
-7.253586552250001,-7.250872230484153
-6.9291383387500005,-6.930901316688984
-12.851979949310344,-12.851073240454996
-6.387349849166667,-6.3828997931509015
-7.3272976225,-7.311677008429653
-6.997414866458333,-6.997600488591147
-7.036337018958334,-7.03596407680569
-6.972209031666666,-6.971713515956832
-6.903222934791667,-6.902346714218422
-9.382737134791666,-9.377853327632108
-6.915498656458333,-6.910637651104547
-6.361034794999999,-6.359810322565303
-8.642671068999999,-8.64098600254393
-7.062674670208334,-7.061520299213266
-12.650038325625,-12.647900422537507
-6.93296255,-6.932803837639587
-6.357783545208334,-6.350846470732267
-6.861981535208333,-6.861365590976965
-7.082759971458334,-7.082058019116502
-7.070526210833333,-7.068023210740551
-7.033497538125,-7.031862377343888
-7.2173197204166675,-7.216006812487289
-6.2754808620833336,-6.2757055418706
-8.699681950999999,-8.699193861532297
-7.4836348235,-7.4717980861086915
-6.355265941875,-6.372510901769371
-7.068147196666666,-7.068698331134839
-6.305246054166666,-6.304344596264226
-7.1411418683333325,-7.140275295761668
-12.5404029940625,-12.533586096274814
-9.119282188,-9.11586207389258
-7.086906602291666,-7.086411595318425
-12.048297121875,-12.048385937789286
-8.08765840725,-8.08388759182512
-6.27669923625,-6.270582721184496
-11.924587583000001,-11.92320583983158
-10.9391209678125,-10.94214784042467
-10.9766694853125,-10.97699201589117
-6.3108484491666665,-6.315545442914211
-7.061019605208333,-7.061302985648847
-7.043352205416666,-7.043235346931052
-6.284718577916667,-6.283837247587275
-6.86991817125,-6.864554953737813
-6.370780570416667,-6.366562839926039
-7.1626353775,-7.161560792560775
-6.863960353333333,-6.860328673613402
-6.421010680208333,-6.415704146391222
-7.188184234791667,-7.186565876392424
-8.7243770735,-8.715007785586925
-13.381038086250001,-13.384711038132064
-12.097760621874999,-12.097860225803124
-7.175230106250001,-7.173717903541264
-6.841179471666667,-6.837326296858326
-8.38624848425,-8.37680108940754
-6.307960816041667,-6.307069188101046
-6.29402306375,-6.314348485605623
-6.345592338333333,-6.348763109171391
-7.159974906458333,-7.159369531681491
-7.018983713541666,-7.018892254311968
-7.135503300833334,-7.134632461706083
-6.3160171329166666,-6.3177603515217475
-8.023129274,-8.024522418315737
-6.316754598958333,-6.313163759272244
-6.302889156041666,-6.298176384297771
-7.172837844791666,-7.172076097156875
-8.5334640585,-8.521510922881278
-8.892658805249999,-8.89467381185108
-6.223261013333333,-6.2251744400323235
-7.174930991249999,-7.175554556449948
-6.194227765625,-6.189127350092169
-6.213222075,-6.220022724800092
-8.7169583635,-8.710314647469014
-8.96840958775,-8.98165069311015
-7.185493723541666,-7.185167703728435
-7.004939122500001,-7.004997696510529
-7.045977601250001,-7.046029394450179
-6.3442326025,-6.3452478766533185
-6.4120782089583335,-6.404431133987718
-6.858498213958334,-6.85214953577134
-7.7183298935,-7.712143125437533
-8.7005415,-8.692258253974682
-6.2161757729166665,-6.234132228488129
-7.030472434375,-7.030425067452683
-7.009273119583334,-7.008898326370038
-6.452802033125,-6.445724347825602
-6.935716607500001,-6.935996635093453
-7.697981084,-7.691952210644509
-7.73022711325,-7.7257869942562865
-6.386760596666666,-6.386040887904742
-10.50052597975,-10.50287484173454
-6.51036133,-6.553326196845108
-7.1958509556250005,-7.195364843902269
-12.66581234125,-12.663037136600893
-6.277592235,-6.282174159571627
-6.814800005833334,-6.809351621582316
-7.181904246458333,-7.181505996202802
-9.9837524275,-9.97864497675628
-6.985748181875,-6.986795257327423
-9.06419916,-9.059953206841865
-6.366025066041666,-6.354530516840735
-7.187219163541666,-7.186347798159255
-7.201711446041667,-7.200477515815485
-7.029307845000001,-7.0299789780922355
-7.042377411041667,-7.041673273355713
-6.293173825,-6.296026890627285
-8.63528793525,-8.629279611826012
-7.195234192083333,-7.194824654567199
-6.308499467083333,-6.3091051935010585
-6.328504129791667,-6.337328708026791
-6.23623066,-6.224025242417856
-7.221289974583333,-7.219535960876834
-10.9543909096875,-10.956108656952498
-6.992699127708334,-6.991078852084764
-6.3981644031250005,-6.401202593814219
-7.090967105833333,-7.090803906557594
-7.086997490833333,-7.085977764999444
-6.966736632291667,-6.967098069666766
-7.065743611875,-7.064846702931086
-6.3329657343750005,-6.32909423164249
-7.189671582708333,-7.188713225228653
-6.9489535445833335,-6.94820726312082
-13.985879230185185,-13.997620912946376
-6.379479773333333,-6.380868697746819
-6.286650359166667,-6.2850996510447885
-6.306551525625,-6.3014420316461
-7.003861150416667,-7.00523404384488
-7.6730776495,-7.671425858395599
-6.273411010208334,-6.268773991443639
-7.150844098958333,-7.150527659052944
-6.960450048125,-6.958962497826264
-8.48454574475,-8.483288188193677
-10.4666625165,-10.46583823039653
-6.345985314791666,-6.352365262271612
-7.10879980375,-7.108991425836585
-7.006404796875,-7.0080522386899915
-6.22576602375,-6.214602052982175
-6.853320049375,-6.8530525849846375
-7.086426395416667,-7.085339662814623
-6.8943184864583325,-6.8935139559221765
-7.032348663333334,-7.033222908276444
-6.3278733874999995,-6.331954264076096
-7.049373101458333,-7.047941174716262
-7.049219952083334,-7.047495575960497
-9.233376527083333,-9.231079557112222
-7.125989685833333,-7.125822598474287
-7.197161917916667,-7.1964001975959135
-7.044828494791666,-7.044609579436685
-8.90137637025,-8.90412056824346
-7.003097214375,-7.000814243623805
-7.133520868958333,-7.132371812683545
-6.426047659166667,-6.415476324790617
-8.71166674875,-8.704537918364297
-6.416896449375,-6.4163260056083145
-7.093436430833333,-7.093199299566995
-6.989347895000001,-6.988847790614795
-6.962743842083333,-6.959759730768851
-6.36992398375,-6.361525753596173
-6.332524731875,-6.337015344132389
-10.743923110999999,-10.745212627439452
-7.101015815625,-7.099227157162641
-7.203388398333334,-7.202315119516726
-6.97857056375,-6.979410600129576
-6.9183922381250005,-6.908538356250354
-8.00431323775,-7.9975036974288845
-7.188918581875,-7.18822237106406
-6.269170751666667,-6.268671697631061
-7.17887306875,-7.17777981029496
-7.082507965624999,-7.080559651434466
-6.961591380624999,-6.9617448135450815
-6.879134791458333,-6.882327814051378
-6.95751401375,-6.959880341545428
-9.261997840208332,-9.25770792276989
-6.999477056041666,-7.000405993796267
-6.3236897702083334,-6.319385069834428
-6.335808069791667,-6.33453978270158
-6.99479350125,-6.994669240741288
-7.066579368125001,-7.063961144196557
-8.3865792095,-8.377685138281244
-12.6112752145,-12.611091424329338
-7.032808423333333,-7.031110713580141
-7.012324885416667,-7.013235422714231
-7.180658135624999,-7.179639025128509
-7.0527869814583335,-7.051467871522205
-7.020086295833334,-7.020165848703839
-6.377591092083333,-6.382886924278929
-8.584810656,-8.556031467473266
-6.929825596041667,-6.932905026784485
-7.05694917375,-7.056726408219224
-6.307865751666667,-6.305447533890503
-6.333231045208334,-6.328813764642693
-6.3704643079166665,-6.372131675195693
-6.905124866875,-6.903285222532939
-12.933012522586207,-12.930862018105056
-7.0463830624999995,-7.045416761915422
-6.298538859583334,-6.305148762623464
-6.944513214791667,-6.944680202967693
-8.731627460999999,-8.725116091681038
-11.877573133999999,-11.874886338648192
-7.003897172916666,-7.004100601705249
-12.464757084375,-12.462174546010093
-6.390282715624999,-6.3924458332669944
-7.1773955435416665,-7.176749504069071
-7.02192156875,-7.019810195036976
-9.93006950325,-9.926891074911238
