B_index,x_A,y_A,z_A,coordination_B
1,4.695897,15.478385,2.347908,4
2,2.020598,3.514700,13.774816,6
3,5.018398,1.264946,1.940424,6
4,3.708601,3.753169,0.911392,5
5,5.750100,2.985146,4.548970,5
6,4.876101,4.299354,1.966576,5
7,4.824099,14.468254,6.194192,5
8,2.453901,3.088046,5.292010,5
9,6.289799,5.400731,2.770060,4
10,17.175593,15.334100,4.736610,4
11,6.291702,9.202223,13.957200,5
12,16.271498,6.515680,3.422240,4
13,5.814102,11.201800,0.876592,6
14,5.096302,4.623669,3.743560,4
15,4.059498,8.562323,0.650108,4
16,1.731398,5.851754,5.568392,4
17,3.751230,0.514523,3.238808,5
18,5.632570,15.108254,12.124116,6
19,2.765001,15.875151,4.365616,6
20,12.038000,4.098623,1.458384,5
21,0.210081,6.241461,2.968368,3
22,8.036599,1.634569,3.228276,4
23,1.216040,15.853545,1.775860,4
24,4.444298,4.795131,7.004040,3
25,3.381999,14.138597,5.594716,6
26,11.452991,8.677846,11.393848,3
27,7.279898,2.601592,5.675324,3
28,7.205803,6.850446,4.964776,1
29,8.605799,2.167623,0.642968,5
30,7.840099,3.460369,1.497416,4
31,9.733440,3.809723,8.035740,3
32,7.588898,3.405346,3.441892,5
33,7.717299,0.974538,4.927184,5
34,17.047199,0.424900,3.863630,5
35,3.469902,3.447023,6.698524,4
36,1.046698,4.209640,5.073424,7
37,5.293103,1.240231,3.813508,4
38,0.505899,1.980846,3.549668,4
39,2.410902,1.519654,3.539724,5
40,9.706998,1.671930,3.023616,5
41,2.685699,12.716300,5.045952,8
42,2.943398,6.596823,3.802508,4
43,10.214500,6.353923,5.366376,3
44,4.180130,5.515377,0.494924,5
45,0.397402,5.197123,6.836432,5
46,17.053798,3.867608,5.547124,5
47,10.387398,3.678270,4.130976,5
48,1.551598,7.240623,0.318924,3
49,9.585102,9.799250,5.824758,5
50,8.010580,4.931269,2.427920,6
51,8.048702,0.062393,7.266718,4
52,14.152151,4.221423,6.716492,5
53,11.492900,6.161969,7.394484,4
54,10.816600,1.965223,4.173684,5
55,2.353795,3.789223,3.619076,5
56,12.092398,8.221723,13.974193,4
57,10.876799,5.614931,1.467476,6
58,15.036899,8.919708,0.374116,5
59,8.352497,6.162423,0.468708,5
60,11.792700,3.124400,13.887156,4
61,15.178498,16.185146,2.563960,5
62,10.486402,8.817047,2.727976,4
63,11.521503,14.870031,5.127810,6
64,13.750821,4.222877,2.247392,4
65,15.688500,3.839977,4.578448,5
66,14.574300,6.923869,4.284592,5
67,0.341536,3.860530,1.240868,4
68,5.450603,5.425723,5.681484,3
69,16.677726,9.515908,0.742516,5
70,11.156702,7.060410,8.919292,5
71,0.644998,1.298923,6.644392,4
72,1.391598,1.266769,1.131332,3
73,1.689398,14.998731,3.192716,4
74,15.017100,5.057740,3.493552,5
75,14.584921,2.574780,7.441568,5
76,12.584000,1.335577,4.704268,4
77,14.128499,2.483277,1.703976,3
78,1.464598,5.588877,3.984868,6
79,12.731661,1.926446,7.362624,6
80,16.784900,7.982731,6.209484,4
81,17.012100,7.265346,8.766188,4
82,13.366802,6.613831,0.038724,5
83,8.842351,4.305346,4.428392,5
84,13.698903,1.370223,5.968168,6
85,9.768802,4.589623,2.678690,6
86,11.185700,1.530770,2.478092,4
87,13.418800,7.468408,3.243868,3
88,7.681160,6.400123,11.536224,5
89,15.455599,5.140069,-0.003724,3
90,11.200498,1.387823,7.561816,5
91,11.173371,10.704031,0.339708,3
92,11.002099,5.343754,4.370868,5
93,16.579804,2.341392,6.165748,5
94,14.740802,5.690140,7.713532,5
95,1.186399,4.987423,2.322732,4
96,8.855502,8.594269,2.064308,5
97,12.032499,4.131969,4.703660,4
98,14.360998,13.522223,3.574392,5
99,10.469291,1.203323,5.830484,4
100,0.918799,12.472569,5.123684,4
101,10.143051,6.210523,3.025808,5
102,3.797999,9.856354,10.743316,3
103,2.016001,10.514346,1.164284,5
104,2.267730,1.789177,13.729992,3
105,6.060740,8.489754,2.531692,4
