B_index,x_A,y_A,z_A,coordination_B
1,5.848005,5.976504,5.320970,5
2,2.090398,8.725596,19.294820,6
3,3.112797,1.754199,10.803861,5
4,3.386398,4.783561,1.098430,6
5,7.248903,0.542906,3.626930,5
6,5.334703,4.256001,20.174390,5
7,7.094597,11.164198,6.955130,5
8,4.606097,5.932008,4.178060,5
9,7.857598,4.342899,16.704700,5
10,5.123998,3.181598,1.139630,6
11,3.648794,10.151900,14.047791,6
12,3.006194,9.386601,9.482830,5
13,1.909692,11.087002,5.556830,4
14,5.766905,5.810798,15.828000,6
15,2.905905,10.875297,4.236830,5
16,8.814098,5.019496,6.300140,6
17,8.352203,6.147504,5.177770,5
18,0.359594,9.790003,0.207670,4
19,3.160230,7.689199,0.491734,5
20,2.155497,3.856180,21.217700,5
21,4.666606,4.521202,9.738461,5
22,7.359260,3.377597,14.452250,5
23,5.685640,3.638698,3.442430,5
24,2.084003,4.533797,10.169048,4
25,8.177992,2.798890,17.363850,5
26,9.644011,11.064802,16.013130,5
27,9.197012,1.306301,1.200910,5
28,6.496898,8.727790,2.839730,4
29,9.134695,9.418606,1.351830,4
30,8.755808,10.311998,7.370770,3
31,9.888392,7.313697,11.290870,5
32,6.277570,8.776499,9.809450,5
33,5.674605,6.741499,18.858361,7
34,10.675600,8.727399,5.277591,7
35,8.652382,1.981620,9.680570,5
36,2.939705,7.853440,10.177900,5
37,0.171694,1.918105,7.816891,3
38,4.670595,2.774697,20.946030,6
39,10.507546,2.124498,1.779239,3
40,2.759897,3.514499,3.368961,6
41,5.994105,8.585003,1.082439,4
42,6.582805,3.774099,1.490970,3
43,7.137188,6.093021,2.006630,4
44,3.302498,6.543805,6.898430,4
45,9.249550,10.891745,12.363821,6
46,3.687305,10.037403,7.990461,4
47,3.471505,2.396207,5.853730,5
48,0.857905,7.741597,19.831409,3
49,0.456208,7.202307,5.217170,5
50,3.387505,9.233603,3.646430,4
51,1.714705,7.332261,1.101870,4
52,0.187894,7.659203,0.227091,4
53,9.369897,8.018910,0.518239,5
54,2.219694,10.915202,8.904330,6
55,5.016080,2.089602,5.612961,4
56,8.729195,4.082602,3.278030,4
57,5.052792,9.100304,20.105610,5
58,0.754602,2.934941,2.447639,5
59,0.327802,2.714899,20.427200,5
60,9.274605,0.339498,10.780870,5
61,9.186002,9.006999,18.848900,5
62,6.844840,10.360500,4.021810,5
63,4.517997,7.744899,1.482970,6
64,2.344542,5.085402,5.930652,5
65,2.224891,3.223803,14.684400,4
66,3.672591,0.331896,2.862091,3
67,3.152797,8.142403,18.063100,6
68,9.813703,1.015290,14.827039,5
69,6.614694,6.864003,20.116539,6
70,1.963897,0.254504,2.642770,6
71,8.831694,11.025997,1.508430,6
72,9.525303,8.174804,17.416339,6
73,3.953030,9.727998,10.865791,7
74,0.915794,1.073240,20.677591,4
75,9.989470,5.064091,2.039261,5
76,10.804809,7.579003,3.716620,4
77,1.271400,0.193254,4.221170,4
78,5.834494,6.883899,0.326221,7
79,3.036797,3.846497,6.748020,5
80,7.169862,11.169202,1.862621,5
81,7.920906,1.145099,2.102870,5
82,10.942995,1.736898,17.835320,6
83,4.120898,4.317005,3.618370,5
84,2.625005,11.246295,16.941800,4
85,2.300498,10.026100,18.432750,5
86,2.698692,0.489005,20.586861,4
87,2.814495,1.114401,12.372140,6
88,9.566880,2.906798,4.089730,3
89,-0.007106,9.790903,10.584770,5
90,8.815089,11.132198,5.990539,4
91,5.923195,10.460635,5.690939,2
92,4.003103,3.856897,19.204930,5
93,8.543905,6.906599,16.573340,5
94,0.687295,5.198002,5.551640,5
95,1.367806,4.411210,13.891110,5
96,5.863990,11.163091,0.757770,3
97,1.442652,10.226302,1.282661,5
98,8.351108,3.964690,12.639800,7
99,4.084995,6.358002,0.220830,5
100,8.063698,4.280401,10.556891,6
101,3.507398,3.273898,0.666339,5
102,9.647705,2.333099,8.175930,5
103,2.157308,3.254298,16.426300,5
104,2.458306,5.049399,2.783730,6
105,2.418695,4.486703,19.798730,4
106,3.346692,1.914700,1.977239,5
107,5.380005,1.320799,-0.046574,5
108,7.999694,9.296602,9.870809,5
109,6.755120,10.199999,14.830461,5
110,7.872205,6.399251,8.756730,4
111,2.391492,10.256999,15.491948,5
112,3.403830,9.134280,1.429130,7
113,7.177397,4.788494,5.570170,6
114,8.360995,1.375106,6.097961,4
115,3.336598,7.339398,4.594761,6
116,7.317550,3.852161,4.248921,5
117,6.092812,1.139305,11.857461,5
118,7.090695,4.130803,18.121330,8
119,1.451597,7.453402,9.367830,4
120,6.257998,8.512908,20.836517,5
121,6.012297,0.046604,10.506121,5
122,1.150170,3.387696,4.104139,6
123,5.388588,2.045595,7.758339,5
124,2.128195,3.349694,5.372330,6
125,9.515005,5.003150,13.293991,7
126,9.237595,10.167303,10.634400,5
127,2.868994,0.756597,6.347670,3
128,1.579706,1.362900,11.126300,5
129,4.945998,6.407811,6.951870,5
130,5.209242,9.322560,14.488080,5
131,8.264803,1.575798,3.950860,5
132,8.860808,9.378799,5.076060,6
133,0.467194,3.091503,8.808270,4
134,1.265589,1.827997,18.855380,6
135,3.755895,9.071411,16.879330,6
136,5.244988,4.029099,11.533961,6
137,10.964706,8.197099,9.843750,5
138,10.203998,9.467603,15.737160,6
139,10.128800,4.169690,6.020490,3
140,7.366097,5.975590,10.475479,5
141,2.128403,1.530296,14.180180,6
142,3.473697,5.100996,11.107409,5
143,4.063582,7.125599,12.899200,5
144,6.963592,8.476308,11.359030,6
145,5.388195,1.124702,18.588630,4
146,4.012397,1.593591,8.754680,5
147,9.375960,8.487781,14.750910,5
148,3.956203,11.104300,12.714330,6
149,7.547408,4.662702,7.668370,6
150,2.395197,7.823798,5.973470,5
151,9.128670,6.739596,6.657909,6
152,4.909598,9.667007,9.423870,5
153,1.428403,9.532102,6.386639,4
154,4.909005,3.360402,6.764430,6
155,9.124606,5.461902,8.004161,5
156,10.824495,0.328319,3.359461,4
157,10.731992,3.981698,14.023361,5
158,0.349889,3.919092,12.498739,5
159,7.996803,2.739202,8.297830,5
160,3.133803,5.901495,13.714109,7
161,3.340905,0.393314,7.939839,5
162,4.372197,0.486102,10.013361,4
163,10.929410,0.764899,16.318720,6
164,1.997360,9.201796,14.001630,5
165,9.081706,6.594699,3.248230,6
166,4.572386,2.210199,13.647130,4
167,7.560492,7.911695,5.530009,6
168,7.411689,11.067404,13.404510,5
169,9.820782,4.449095,18.720100,5
170,2.327498,10.094304,21.135549,7
171,-0.025998,11.277206,13.164109,6
172,1.938798,5.675204,1.497961,4
173,5.580695,2.643205,12.424861,3
174,5.620350,11.102002,12.291139,6
175,3.008890,3.987531,8.758791,5
176,6.921597,4.758499,11.743520,6
177,5.434150,7.743099,13.881300,4
178,1.142691,5.636797,9.277130,3
179,8.863190,5.398698,16.047620,5
180,5.553380,7.266606,10.240400,4
181,9.813803,5.678093,19.947661,5
182,2.819572,5.586460,18.606791,4
183,4.022295,5.309401,12.636639,5
184,7.573495,5.392493,13.371700,6
185,8.274305,2.545103,13.467030,5
186,1.071594,6.797095,16.901190,6
187,0.362095,11.170703,8.863891,4
188,0.839691,-0.040804,10.287370,5
189,9.152694,7.700598,9.784070,5
190,4.805492,7.349690,3.111260,4
191,4.154588,7.782699,6.335391,5
192,1.926595,2.793495,9.825261,5
193,2.883103,7.140398,16.707500,6
194,9.315090,5.032402,0.417070,3
195,1.031195,1.034798,12.692709,6
196,0.711147,3.518910,17.421030,5
197,2.068305,8.889797,2.389070,4
198,4.709506,1.521098,15.118820,5
199,8.094350,1.069080,12.454380,6
200,8.505303,9.660501,15.670339,5
201,3.375311,10.367391,19.868800,6
202,8.471303,2.091299,15.071409,5
203,0.016198,7.389004,18.135961,4
204,0.623992,4.817903,2.425291,5
205,7.333542,1.177203,10.610770,6
206,2.742520,5.930804,15.509661,7
207,5.832180,4.777997,6.688710,5
208,0.544097,9.163380,13.082230,6
209,8.710503,6.447698,0.960039,6
210,2.139062,4.757450,17.354361,7
211,9.340903,8.712202,6.765060,6
212,8.755395,8.652197,11.252209,6
213,9.601542,4.052596,11.242070,5
214,7.263720,1.653095,16.491000,4
215,4.689897,3.289621,8.435570,5
216,8.116194,5.801402,17.868340,7
217,9.319194,0.326799,-0.147770,5
218,3.552750,0.495497,14.002330,6
219,2.914610,9.710808,12.291861,6
220,3.718908,9.124370,20.905491,6
221,6.196805,9.654698,13.026109,7
222,1.439197,6.079899,14.092239,5
223,5.446482,11.019102,17.674961,4
224,6.352603,6.461204,14.326861,4
225,2.155112,1.578608,17.187530,5
226,6.095208,7.490002,6.573560,4
227,7.976697,8.879304,17.349100,7
228,5.244998,3.933398,18.233330,5
229,0.789395,10.251904,7.744561,4
230,5.379205,8.999398,16.444709,6
231,5.756494,9.953105,11.186139,7
232,6.955903,1.358694,19.317809,4
233,6.802912,6.567204,17.329830,6
234,4.283698,4.875605,15.101530,5
235,0.334502,8.296140,8.162370,4
236,10.160512,10.229204,2.495330,4
237,6.786698,0.567694,21.136202,4
238,8.962809,1.921770,21.175930,2
239,3.679797,3.149720,15.462609,5
240,6.282498,2.228499,4.483460,5
241,10.942276,8.073596,16.371500,6
242,6.082094,0.330195,16.080261,5
243,6.282398,8.255798,17.576300,6
244,10.676509,7.476550,6.678070,5
245,9.792103,2.423299,14.260000,5
246,10.607503,4.564402,8.613239,3
247,3.371870,8.173104,11.854361,5
248,7.225298,2.775140,9.724950,5
249,6.316698,4.191308,10.091439,6
250,8.352992,5.134404,19.475200,6
251,7.241908,5.099998,15.033530,6
252,1.337522,0.674704,15.733261,6
253,0.445394,1.232695,14.184970,7
254,5.073009,5.774498,20.480006,5
255,4.286742,1.295699,20.097639,4
256,5.283782,5.465902,17.688170,7
257,10.478206,5.556802,11.713148,4
258,10.078308,8.520903,13.058209,5
259,8.010798,8.432506,20.190020,6
260,-0.009203,4.313996,20.126709,4
261,4.717595,8.217603,18.509539,8
262,8.307670,6.628294,20.450539,6
263,7.775495,2.509551,18.940800,5
264,7.768182,9.906702,19.065139,6
265,10.447605,2.481005,6.616021,3
266,2.994997,5.610002,4.552591,5
267,3.988498,5.853198,16.442439,7
268,10.961308,11.112012,20.740530,3
269,0.988097,10.375596,11.794339,6
270,10.935008,2.074299,3.602409,5
271,10.173503,10.173393,13.804630,6
272,10.186597,4.997897,15.038339,4
273,7.005294,4.040802,19.733620,5
274,9.400492,10.791902,18.909230,4
275,3.907470,6.644121,18.020039,7
276,7.220106,4.256241,2.826270,5
277,6.075130,9.520408,18.495540,7
278,7.594370,8.779902,3.960570,5
279,9.426095,8.915298,3.447030,7
280,4.123303,6.770302,11.121830,6
281,1.159895,3.557298,19.110730,7
282,5.769840,1.961504,16.988739,4
283,9.506998,2.712203,18.577961,4
284,6.886903,1.231930,7.161170,4
285,10.886700,6.726399,15.306000,4
286,1.615720,7.639750,13.434480,4
287,10.181805,0.074894,17.662500,4
288,7.929298,0.126698,19.782239,5
