temperature_K,FeB2_meV_atom,FeB4_meV_atom,FeB2_eV_fu,FeB4_eV_fu
0,38.23184031802107,5.321128460963109,0.11469552095406321,0.026605642304815547
10,38.232027824930626,5.321238114936122,0.11469608347479188,0.02660619057468061
20,38.23301182596772,5.321772548503745,0.11469903547790317,0.026608862742518724
30,38.23570311011082,5.323069688671467,0.11470710933033246,0.026615348443357334
40,38.242161662326524,5.325688946898666,0.11472648498697957,0.02662844473449333
50,38.25606740292464,5.330426454555948,0.11476820220877393,0.02665213227277974
60,38.28180721056462,5.338063729404041,0.11484542163169387,0.026690318647020206
70,38.32306336630431,5.349102661192262,0.11496919009891293,0.02674551330596131
80,38.382017779229116,5.3636499500822055,0.11514605333768735,0.026818249750411027
90,38.45929463747311,5.38144146266184,0.11537788391241932,0.0269072073133092
100,38.55429508778485,5.401932712016944,0.11566288526335455,0.027009663560084718
110,38.66562833153964,5.424406231592016,0.11599688499461891,0.02712203115796008
120,38.791484162674195,5.448064128080077,0.11637445248802258,0.027240320640400384
130,38.92990517370443,5.472098403020098,0.11678971552111328,0.02736049201510049
140,39.07896346653139,5.4957399757835645,0.11723689039959417,0.027478699878917823
150,39.236860408516705,5.5182875480657145,0.11771058122555011,0.027591437740328573
160,39.401979461496595,5.539124808565887,0.11820593838448978,0.027695624042829436
170,39.57290187211271,5.557725563317462,0.11871870561633813,0.027788627816587308
180,39.748405462653125,5.573653528388789,0.11924521638795937,0.027868267641943945
190,39.9274505241376,5.586557147754689,0.11978235157241279,0.027932785738773447
200,40.10916277283805,5.596162390121506,0.12032748831851414,0.02798081195060753
210,40.29281288085507,5.602264250240907,0.1208784386425652,0.028011321251204535
220,40.47779635216564,5.604717939259984,0.12143338905649692,0.028023589696299922
230,40.6636161912477,5.6034302823970705,0.1219908485737431,0.028017151411985353
240,40.849865917200745,5.598351375693866,0.12254959775160224,0.02799175687846933
250,41.03621514014577,5.589467745602761,0.12310864542043731,0.027947338728013804
260,41.22239769987601,5.576795715843019,0.12366719309962804,0.027883978579215096
270,41.40820023638625,5.5603756552464745,0.12422460070915875,0.027801878276232372
280,41.59345392723601,5.540267262009735,0.12478036178170804,0.027701336310048674
290,41.77802651283535,5.516545107049353,0.12533407953850606,0.027582725535246766
300,41.96181619301953,5.489295576555975,0.1258854485790586,0.027446477882779874
310,42.1447455524504,5.458613140843838,0.1264342366573512,0.027293065704219188
320,42.32675822102294,5.424598696080807,0.12698027466306883,0.027122993480404034
330,42.50781449782082,5.387356921387365,0.12752344349346245,0.026936784606936826
