B_index,x_A,y_A,z_A,coordination_B
1,4.134706,4.970910,1.014994,3
2,2.617489,2.659063,3.399011,7
3,5.941244,5.516615,6.795483,5
4,2.460571,3.723011,4.634906,5
5,3.920911,11.589026,1.873606,4
6,3.065823,2.229580,5.163906,6
7,0.307777,4.059952,5.170777,5
8,2.918906,3.918037,1.704306,6
9,5.207183,5.449889,3.864611,5
10,3.763010,5.399363,2.632717,5
11,3.426166,3.944450,7.611944,3
12,0.202417,4.554848,3.382717,7
13,5.571766,4.555387,5.659606,5
14,0.322279,1.712511,0.967311,5
15,1.072829,6.349757,1.501590,4
16,0.997711,11.066415,2.118806,5
17,0.800387,7.434517,10.798644,3
18,3.050577,6.569026,6.396811,4
19,6.813450,14.028811,0.995306,3
20,5.036300,6.386374,5.468614,6
21,3.880283,2.418337,2.177160,5
22,0.089889,2.677650,4.010670,4
23,1.128083,12.630885,3.221117,4
24,3.873411,3.678678,5.767171,5
25,12.503500,2.499837,10.998889,5
26,6.206500,7.536526,4.443577,6
27,3.945006,13.807800,5.119871,3
28,6.314083,4.038763,3.897589,4
29,4.778460,2.261937,5.762089,5
30,8.483889,7.522277,6.400523,5
31,1.096071,2.402170,9.934611,4
32,5.349823,6.084567,-0.087594,5
33,4.192411,1.706748,10.486523,4
34,3.340194,0.556963,0.316817,4
35,0.893689,1.475960,2.854511,5
36,0.597811,0.275148,6.150860,2
37,6.230611,2.243763,4.343789,4
38,8.919189,4.348163,5.011290,3
39,0.457985,3.274263,6.743711,4
40,5.540511,2.163437,14.649789,2
41,8.380500,2.007620,7.018217,4
42,11.580924,3.534548,2.325611,4
43,1.035806,6.598087,7.416534,6
44,1.848611,1.413389,6.375489,5
45,8.503804,5.435310,0.473011,7
46,9.299010,14.119563,13.233054,5
47,12.370006,2.268111,3.713811,3
48,9.283811,1.074052,14.202969,6
49,9.103630,2.554674,4.495994,2
50,10.643384,3.422937,0.910111,5
51,11.937100,0.481174,3.285983,2
52,11.870166,12.187226,7.549683,5
53,5.952906,2.939585,1.221089,4
54,12.584083,6.353074,5.362389,7
55,0.061417,0.077667,0.192006,3
56,8.493970,14.202658,1.968211,4
57,9.136494,1.109663,0.990311,4
58,11.644711,4.629177,5.863006,4
59,11.523306,1.326489,7.254711,4
60,12.637044,0.549789,6.184989,3
61,0.010072,5.579127,4.894450,5
62,9.437671,5.478926,3.861794,4
63,10.366517,4.903363,6.946406,4
64,8.283706,6.738148,3.296194,5
65,8.884406,0.443063,8.492689,4
66,11.781511,4.502727,7.695100,5
67,0.192311,13.940911,3.056017,3
68,6.681889,5.922863,0.998351,5
69,10.786500,1.597189,0.241994,5
70,13.138254,3.585263,12.275689,4
71,13.123684,6.405352,3.561383,7
72,2.783311,1.047711,2.647580,3
73,6.526620,6.675280,2.768629,6
74,5.146820,8.236826,5.746454,5
75,6.149117,10.703400,4.111706,3
76,4.659971,1.409880,7.287490,5
