B_index,x_A,y_A,z_A,coordination_B
1,8.983350,7.651328,12.352439,4
2,9.969389,12.848700,6.460069,3
3,9.654789,7.445543,8.412370,3
4,1.886421,13.678014,11.293062,4
5,1.879057,7.194343,5.798679,5
6,1.191720,7.286314,4.125662,5
7,3.450021,1.996571,4.408578,6
8,3.584989,6.931229,5.749441,3
9,13.493900,13.025515,13.442041,4
10,15.939891,14.176543,1.733041,3
11,3.073721,2.927443,1.366359,4
12,2.838743,12.110600,6.515141,6
13,10.813821,3.451586,12.409141,3
14,1.882821,15.220600,7.089589,5
15,12.018200,3.602520,2.010059,5
16,11.079071,12.934386,3.514390,5
17,3.009579,12.730071,10.488519,6
18,9.547170,2.917640,5.633257,4
19,6.946170,5.171414,13.321281,4
20,14.033579,1.059857,10.300600,6
21,7.661132,13.619786,4.154857,4
22,0.462221,10.455500,9.850381,5
23,2.051847,10.047400,3.460310,3
24,16.305321,2.404071,10.479841,6
25,3.338879,9.177528,9.835219,5
26,7.227689,0.207114,13.427322,4
27,6.964811,7.167529,1.766959,4
28,8.118489,13.648200,9.685738,6
29,9.316789,14.660786,10.497178,5
30,13.091289,10.619800,11.939838,5
31,14.780179,12.234817,7.462619,3
32,14.501668,11.781200,4.296770,4
33,12.213201,15.213543,4.010459,6
34,13.840889,7.057714,9.654819,5
35,14.783532,7.530214,6.643469,5
36,12.343879,8.230407,9.841578,4
37,4.289880,3.268086,2.651040,6
38,14.064000,6.769414,12.906541,5
39,12.245671,7.240571,3.677481,5
40,12.071589,6.436658,8.307469,6
41,8.324179,15.649514,5.789041,8
42,12.265943,8.725467,11.717800,4
43,13.727900,8.644410,5.393322,4
44,8.922121,4.690729,9.473522,5
45,4.468011,12.278886,13.375341,6
46,4.678820,15.791194,13.395538,6
47,14.226500,12.044677,12.121041,5
48,1.040411,8.360543,12.394479,4
49,15.137091,5.551080,5.897160,4
50,14.600821,10.479800,2.837119,6
51,3.865221,5.788886,0.851481,4
52,3.991811,6.516086,2.557859,6
53,12.242189,15.572014,8.746841,6
54,3.123589,13.982543,6.212040,6
55,15.079089,4.328143,8.456438,5
56,12.735589,10.267414,6.001700,4
57,14.208621,6.380929,11.069019,4
58,5.310550,7.355486,1.755641,5
59,9.152432,14.792971,8.910490,5
60,9.036990,0.905843,13.916081,4
61,17.052200,11.373486,1.938919,5
62,9.792343,15.403371,1.417219,6
63,6.244889,9.329586,7.197981,2
64,1.695768,5.416743,7.884260,4
65,3.455579,1.922472,14.031211,4
66,2.435221,5.480171,12.430941,4
67,16.400600,3.994529,2.867541,5
68,12.235789,4.775257,9.065329,5
69,5.132750,16.057043,5.910030,5
70,1.289179,6.913186,8.670522,5
71,1.936621,10.007214,8.928319,6
72,2.617368,1.366190,5.930719,4
73,13.881979,9.351827,6.897178,5
74,8.485621,10.202514,3.412978,4
75,0.331911,11.913743,0.819619,6
76,15.379889,7.301686,10.292929,4
77,1.356930,11.199557,13.749162,5
78,0.121268,5.022014,7.262719,5
79,12.063900,0.683843,0.069781,4
80,9.022432,0.397543,1.184360,4
81,-0.164943,3.303914,0.986241,4
82,14.900421,4.501929,6.935638,5
83,12.780589,15.443143,2.399322,4
84,16.902889,7.982477,10.442079,4
85,3.988289,5.857643,11.504719,5
86,5.420670,-0.026089,0.924062,6
87,15.688700,0.626657,11.898278,6
88,17.627489,15.207243,6.869338,6
89,6.309611,4.064314,4.678822,4
90,11.931989,0.111614,4.949638,8
91,10.129579,6.203771,12.396038,5
92,6.412770,7.374114,11.714609,4
93,6.035932,4.130360,7.325822,6
94,12.820079,14.691000,5.643622,5
95,10.949341,7.617028,4.622222,4
96,9.952121,14.731128,13.995378,5
97,2.698879,8.883086,11.490939,3
98,0.937489,0.811743,10.107162,4
99,12.170921,7.042457,13.961881,5
100,0.386268,12.595386,2.377203,5
101,8.617491,11.917600,9.096038,4
102,5.781121,11.174643,9.377060,5
103,10.948631,7.887130,12.497878,5
104,14.967432,13.418837,8.475709,3
105,6.629111,11.763107,2.831150,5
106,14.951189,10.442047,8.191881,5
107,9.721021,7.815997,1.537940,6
108,15.626689,1.013286,4.654441,3
109,6.180911,10.047300,13.406719,4
110,3.001121,13.753043,3.576141,4
111,9.983343,4.929443,11.373341,5
112,13.529331,11.154785,7.413160,5
113,11.642800,5.493757,2.246578,5
114,2.785468,3.930557,12.236619,4
115,12.580268,1.046543,6.663322,6
116,3.585489,1.700114,7.207100,4
117,2.995821,4.662014,0.069862,7
118,2.315089,6.179229,3.389641,6
119,16.101079,11.181043,-0.004419,5
120,4.101189,10.869272,6.424041,6
121,3.853389,2.987750,12.828839,4
122,8.801589,3.538543,8.107862,4
123,4.696489,12.556800,6.957709,6
124,17.414600,3.201172,6.062659,5
125,11.115589,12.219715,11.710100,6
126,9.681389,9.052143,12.860700,4
127,13.140500,11.471643,9.326990,5
128,9.992980,5.971943,1.739859,7
129,8.764289,8.845270,0.434659,6
130,1.218489,8.359728,6.981478,6
131,12.023500,8.813842,5.377741,5
132,11.976657,12.196037,13.370541,5
133,13.541379,6.732707,7.714619,3
134,14.938800,5.246471,2.850841,4
135,6.101450,14.319186,4.679503,7
136,6.599311,15.379900,6.147129,6
137,6.374211,8.826086,1.883678,4
138,10.831521,14.423671,9.524499,7
139,5.915389,5.641543,12.175489,6
140,15.164179,11.144700,1.405459,5
141,10.656432,13.035429,13.632578,6
142,10.355389,4.578110,6.164650,5
143,10.536821,14.518627,7.644970,6
144,7.832479,-0.139814,7.305941,5
145,16.510432,9.316437,7.268857,4
146,0.702768,14.618914,13.905500,3
147,8.514489,7.111843,0.665522,7
148,7.688021,4.818572,3.800603,5
149,16.656089,5.582029,6.690922,5
150,9.491460,10.947614,1.203659,5
151,11.865189,1.347785,9.689939,4
152,8.709068,12.202477,1.756141,3
153,15.801741,12.568400,12.953322,5
154,14.297989,1.675860,7.097989,3
155,5.593057,14.029885,9.451610,4
156,3.746732,5.165743,3.750159,6
157,2.883579,15.675215,12.703141,5
158,4.714400,7.080400,4.595281,3
159,0.509269,10.033914,7.185619,5
160,10.386921,1.055101,10.367700,2
161,7.666030,9.750220,6.632343,4
162,3.658579,7.851585,12.245641,4
163,8.321911,0.865171,10.678119,2
164,1.295589,5.092410,2.474322,5
165,15.572300,0.514443,3.014222,5
166,4.329332,12.330186,11.469641,5
167,4.907279,8.904772,2.105800,4
168,6.713811,7.593271,9.866919,4
169,2.082632,2.785790,13.343181,5
170,16.352489,14.153737,11.478600,5
171,16.606900,15.887728,12.092141,3
172,14.569900,0.142543,8.922281,2
173,10.547789,11.241171,13.594900,6
174,1.655179,3.930590,1.222003,4
175,17.254100,10.194777,5.729181,3
176,10.006021,9.823157,7.287478,1
177,5.565511,0.159597,12.132579,6
178,4.969043,7.847529,10.559619,6
179,9.088189,11.829886,5.196681,4
180,4.275720,15.206414,9.982541,7
181,10.210221,13.593786,11.459522,7
182,-0.134221,1.515043,1.816322,3
183,0.384179,5.457371,9.019838,6
184,12.908589,1.858557,3.945500,6
185,9.161332,10.280647,13.999178,5
186,11.913843,0.482686,7.993099,5
187,6.989432,10.407100,11.934281,4
188,1.814689,15.102271,8.584381,3
189,4.394289,4.318029,8.169738,6
190,5.734157,0.250657,2.536097,5
191,7.497289,0.586929,4.729138,5
192,14.643989,3.651514,2.724078,5
193,17.079335,0.096715,2.289181,4
194,15.514679,2.562157,3.664841,6
195,9.313980,6.338657,7.156462,5
196,13.866489,3.013630,4.342078,6
197,9.037880,16.159529,4.360519,4
198,7.815489,4.951357,7.791981,7
199,3.247500,11.283928,14.033922,5
200,12.783100,5.094772,13.587841,5
201,4.618657,14.142186,3.597038,6
202,6.592879,10.117429,3.211122,6
203,6.912357,13.999129,10.654900,4
204,13.579600,1.388415,1.294659,4
205,7.248279,0.393457,11.770322,3
206,2.608468,6.421786,1.594757,6
207,10.579011,2.497443,2.088059,5
208,16.114900,10.078271,4.167281,5
209,3.283289,15.155229,2.738781,5
210,6.966711,15.398187,0.315062,4
211,2.538189,11.107271,5.027241,5
212,14.694289,5.337343,13.946800,5
213,17.370679,15.205171,5.052941,5
214,7.061857,3.102372,8.079999,5
215,17.620308,9.257257,11.272279,6
216,16.838432,2.467757,8.825239,6
217,10.111181,13.218300,4.752522,5
218,3.215221,3.674385,3.818022,5
219,4.421120,10.573014,10.204009,5
220,3.598679,12.624828,0.650559,4
221,11.648279,12.902515,10.055841,5
222,6.193320,11.894614,-0.111578,5
223,4.184968,0.285172,10.442078,6
224,8.406901,7.969129,9.642760,4
225,8.172089,4.185990,11.057819,3
226,12.033700,11.699100,2.551840,4
227,11.697957,2.505515,6.854909,6
228,5.339357,12.029197,1.419730,4
229,8.305089,6.524657,13.408778,5
230,7.289321,3.553586,13.901722,3
231,12.452289,9.928043,10.379081,6
232,2.189710,8.255614,9.050610,4
233,7.362930,13.125000,13.342062,5
234,6.707757,1.169928,7.804338,4
235,12.034300,10.381314,13.567697,4
236,9.914147,2.557443,4.099122,5
237,15.871889,14.833843,4.336849,4
238,9.311561,5.017329,2.866480,5
239,5.294700,2.981229,5.746241,4
240,4.834279,16.265314,8.988878,3
241,11.295900,5.720543,10.081881,4
242,-0.155325,3.813243,9.712419,6
243,15.308411,8.929814,3.137462,3
244,12.022400,13.729343,4.687819,5
245,12.575400,9.650727,0.714778,3
246,1.305530,12.130214,11.834779,7
247,0.030343,-0.057957,3.916622,4
248,10.997900,9.072714,3.533100,5
249,7.005432,12.098086,8.431603,5
250,10.618889,16.287314,4.033281,5
251,0.631989,12.437257,8.398281,4
252,0.246721,2.606057,13.059769,4
253,10.010200,2.572757,13.853800,2
254,11.276201,6.831471,0.956122,6
255,15.724657,3.002429,7.543941,7
256,17.071489,1.873971,-0.082581,5
257,17.021853,3.727210,13.617641,4
258,9.412357,6.701386,5.548281,4
259,0.167279,13.667729,5.498341,6
