B_index,x_A,y_A,z_A,coordination_B
1,1.729382,1.138269,2.504501,6
2,1.434437,2.484231,12.522467,8
3,9.857327,1.877431,8.885967,6
4,13.696627,13.204469,4.704633,4
5,3.184291,8.541837,5.686567,7
6,3.000682,1.298594,3.690034,5
7,4.317591,11.861563,6.107466,7
8,9.293918,6.258331,8.490799,7
9,8.742718,7.009470,10.091600,7
10,-0.078927,7.790675,4.755699,6
11,6.023218,5.691530,8.997499,5
12,5.367673,2.829869,3.532733,5
13,6.946780,0.933731,2.731934,6
14,4.455863,5.662863,4.350701,5
15,1.943227,4.714310,6.952566,5
16,7.635327,4.749160,3.731335,7
17,15.077282,11.827131,9.128433,5
18,2.549618,14.618075,2.347799,7
19,4.110073,16.506637,4.258967,6
20,8.933582,17.223100,9.437967,4
21,0.820227,7.387825,7.338970,5
22,2.379680,10.361229,2.878698,4
23,1.523650,1.616669,8.194434,5
24,8.411791,15.589029,3.462635,5
25,1.858709,9.954994,5.881874,6
26,11.564759,8.714137,8.819101,6
27,4.877082,2.846206,13.920001,6
28,5.806827,5.813563,5.854833,4
29,1.179518,6.589610,4.564924,7
30,14.813761,5.108110,2.061533,6
31,0.113291,1.820440,13.526935,5
32,7.085827,13.073731,3.078234,5
33,1.098182,-0.056902,9.111366,6
34,8.289091,4.138225,6.561199,6
35,9.014720,6.895831,5.545801,6
36,6.918882,3.252294,4.309364,7
37,6.759727,8.261890,4.331433,5
38,1.579520,10.516606,7.515920,5
39,7.784754,7.787469,3.144733,6
40,6.053520,5.598369,1.643233,4
41,4.524463,9.665080,2.144666,6
42,7.065591,2.836994,6.021201,6
43,3.890518,7.815063,11.607001,5
44,13.226500,8.838709,11.724867,4
45,1.192573,6.222969,6.213566,7
46,14.860837,17.739401,5.069933,6
47,3.844318,13.585531,4.073490,5
48,6.226982,2.056620,13.829382,5
49,5.154682,17.355263,-0.061666,5
50,8.766980,16.506700,6.395867,4
51,3.961891,13.140339,10.038835,6
52,1.470991,2.219594,3.793135,6
53,13.776763,10.297194,12.265233,5
54,7.794050,1.184275,13.373967,4
55,0.467737,6.564469,2.318434,5
56,4.792710,-0.062537,1.469967,5
57,5.721563,6.326169,13.998233,5
58,9.872391,15.929506,8.932367,4
59,8.681491,0.981237,8.240233,4
60,9.937518,14.184137,2.241434,5
61,0.379627,12.975131,6.503301,4
62,3.421509,6.721475,10.261300,6
63,0.285109,11.015431,0.744066,5
64,10.611946,5.573637,1.046833,6
65,8.396255,0.564969,4.370099,7
66,12.351289,5.714740,0.603960,6
67,11.290500,5.597563,12.466564,5
68,12.903327,5.222531,5.064234,6
69,9.448400,4.412831,3.725567,6
70,10.076327,6.953694,2.021933,6
71,8.522982,0.683031,2.330220,6
72,11.177827,7.302731,0.485095,6
73,12.633946,5.021431,13.501662,5
74,13.009118,4.094890,8.268294,7
75,13.591691,2.271031,1.484933,5
76,1.889390,1.213269,11.223632,7
77,2.855982,5.383163,0.875234,5
78,13.048100,7.325569,1.343734,6
79,13.874737,3.474663,6.908950,6
80,7.493073,8.184463,5.838734,6
81,9.877518,9.584963,4.736960,6
82,14.791613,0.069711,3.246500,6
83,10.236046,7.800863,4.702935,6
84,13.451927,6.381400,6.248267,6
85,11.506673,8.177337,2.020499,6
86,15.437773,13.364331,12.336267,4
87,2.673763,16.254369,12.742266,5
88,4.098609,4.086669,3.690865,5
89,11.786100,1.184800,13.891300,5
90,3.214682,2.778637,13.546233,7
91,13.725982,8.324931,4.145199,6
92,11.905218,3.074637,1.404033,5
93,11.424718,4.571531,5.944199,6
94,12.772282,7.590750,3.007966,6
95,8.678689,5.203675,5.316266,6
96,13.120027,5.735280,2.158801,6
97,11.808489,6.077325,6.537233,6
98,2.580663,7.814631,4.120633,6
99,14.423873,4.785363,5.870267,6
100,2.548918,1.091969,7.096920,5
101,12.703573,3.376094,5.393699,6
102,4.834318,8.630506,6.320267,5
103,9.919991,4.159094,5.547100,6
104,15.049592,0.199373,13.782035,5
105,11.013291,6.923531,3.507234,6
106,4.278927,1.011950,6.876566,6
107,12.129282,5.652894,3.656767,6
108,11.860591,4.597040,1.972399,6
109,9.855700,2.805706,4.396233,6
110,10.412182,5.484790,2.776866,6
111,12.098949,3.129531,7.059099,6
112,6.897427,15.906237,6.416265,4
113,9.305060,10.043906,9.604233,3
114,10.935491,9.378131,10.280966,5
115,9.583263,10.031739,1.998334,4
116,0.830282,5.261550,3.230434,6
117,14.662427,2.461210,8.788433,5
118,15.271591,4.562369,-0.092566,5
119,9.479963,3.420231,9.393099,5
120,0.682673,16.644049,5.885566,5
121,8.441290,5.149531,12.536966,6
122,5.832991,0.441069,9.473750,5
123,8.628027,8.264160,4.558500,7
124,0.110218,7.772331,1.136767,6
125,13.254259,0.577769,12.146168,6
126,11.064249,1.735237,3.950565,5
127,10.636849,7.208231,6.199067,6
128,5.038182,11.105631,4.533601,5
129,3.358209,4.153831,2.034699,6
130,8.115070,4.055363,-0.015928,5
131,3.906560,13.522100,2.362299,6
132,6.977391,16.050763,4.534704,6
133,6.487140,9.024070,10.585824,5
134,2.970909,6.919069,13.018635,3
135,8.039630,1.215069,11.681032,5
136,2.506509,16.156349,3.910699,7
137,0.573282,-0.089837,2.265534,4
138,2.996830,16.471175,2.158966,6
139,14.486737,13.679275,6.322399,5
140,8.445018,13.398794,2.054267,7
141,1.221782,11.845837,9.677267,6
142,5.524082,15.315500,3.751390,5
143,12.094400,10.324831,9.176284,5
144,13.563159,13.215000,1.712766,4
145,6.190991,11.645337,9.085035,5
146,13.539318,10.788994,5.535633,4
147,8.306218,11.363299,0.298879,4
148,2.990482,17.958194,0.967135,6
149,14.479673,8.748931,12.807067,5
150,4.558418,14.792331,9.593233,6
151,10.698869,11.533594,7.035933,6
152,6.658027,14.106594,6.739067,4
153,4.734818,16.789400,2.588034,6
154,12.893539,12.136331,12.465694,5
155,7.703918,12.462099,6.321699,6
156,6.279118,0.253037,0.724434,6
157,2.476618,13.370875,5.376664,7
158,7.419545,13.943089,0.725466,4
159,13.959889,17.045169,6.404584,4
160,7.466391,17.635800,1.790599,6
161,11.803900,13.632729,5.098032,5
162,9.052682,12.404731,4.967567,5
163,14.754418,9.464229,3.490120,6
164,5.030073,8.715079,8.432167,5
165,3.397891,14.772631,13.801201,5
166,5.578191,0.138837,6.465865,5
167,6.247220,9.549637,1.614534,5
168,7.716963,11.412300,4.871233,5
169,5.609290,16.696437,7.014566,4
170,11.152337,2.751620,14.072201,5
171,5.357627,13.613031,3.499568,4
172,8.158650,2.178231,4.870733,6
173,8.489363,11.685200,11.480167,2
174,2.768209,1.075830,12.832100,7
