B_index,x_A,y_A,z_A,coordination_B
1,4.673053,0.817764,2.554245,6
2,3.787895,4.287236,11.533730,5
3,6.356271,4.341836,5.840130,4
4,11.717671,17.822384,7.716370,4
5,2.324576,7.899627,3.487230,7
6,3.143253,0.465509,3.170215,6
7,3.298876,10.653773,3.536685,6
8,9.186347,6.533436,8.166555,6
9,8.915347,6.605710,10.701300,7
10,0.223429,6.995055,4.504055,6
11,7.679747,6.230750,9.029155,7
12,2.591729,4.282164,0.665570,6
13,3.511360,3.636936,6.774335,5
14,1.730205,3.053273,4.431445,5
15,0.802371,5.609550,3.707885,6
16,6.279871,5.131760,2.953360,6
17,1.003429,8.969136,10.778570,4
18,1.861347,13.676155,3.259855,5
19,3.050129,11.527327,5.035130,5
20,10.206553,0.069936,12.722530,4
21,1.580171,6.107445,7.683600,5
22,3.056410,9.434314,2.224510,6
23,2.574330,0.634964,8.676025,5
24,4.678976,15.313964,5.873760,6
25,2.711624,10.422609,6.469365,4
26,12.044374,8.196127,8.584645,6
27,6.478053,3.681991,13.501345,5
28,5.589271,7.075573,6.297070,5
29,3.265347,8.081430,5.163365,6
30,14.468884,2.251160,1.354870,8
31,2.863176,3.970270,13.020360,6
32,6.899171,10.606136,2.461515,6
33,2.855653,17.372897,7.607685,5
34,8.923476,3.295345,6.135455,7
35,9.373870,7.198836,5.377545,6
36,4.929753,5.517109,1.817095,6
37,3.171171,5.791760,1.614970,6
38,4.177830,9.848991,7.520760,6
39,7.962581,6.029864,3.293870,5
40,7.535750,6.873064,0.764170,7
41,3.750905,8.891110,3.653885,6
42,2.677176,5.450109,4.203245,4
43,4.056147,8.410773,12.197945,4
44,1.856876,5.267864,13.812130,7
45,4.736729,1.694664,6.039385,4
46,13.943995,0.773326,4.027970,6
47,14.239971,12.140736,8.132890,7
48,5.172053,2.497500,1.860580,4
49,6.454553,16.686373,11.286730,6
50,2.921760,8.667460,6.657630,7
51,4.060076,11.184764,11.818760,4
52,-0.102224,1.136909,3.186160,6
53,14.042005,8.094209,11.590770,5
54,7.901470,16.202018,0.514315,6
55,0.058895,9.975144,13.382230,5
56,4.725670,16.308736,4.310030,6
57,4.157405,5.575264,12.744970,7
58,10.415276,15.886591,8.582830,4
59,5.385176,17.043091,9.920070,5
60,9.204047,14.167227,1.966615,6
61,1.843571,16.366436,4.766845,5
62,3.874024,9.595955,9.369490,6
63,14.707447,12.361336,13.996000,5
64,11.362019,5.151827,0.782870,6
65,11.206342,17.806427,4.229455,6
66,12.964724,5.434180,0.531944,7
67,11.352800,5.340773,12.156355,6
