B_index,x_A,y_A,z_A,coordination_B
1,4.745190,11.553944,12.111990,5
2,13.308842,0.598662,10.263781,4
3,6.473500,1.414044,4.926210,4
4,2.923079,14.247388,8.859361,4
5,7.482621,10.729316,12.582290,4
6,13.376830,2.976550,-0.083935,4
7,5.578840,1.204888,-0.121181,4
8,10.742240,7.657746,0.513271,3
9,2.348642,5.490050,11.116119,4
10,0.758679,13.339112,1.717871,4
11,5.998821,0.467056,7.061030,5
12,13.620100,3.858980,13.545400,4
13,12.513400,9.777080,2.758819,3
14,3.272760,10.396836,7.971490,4
15,-0.001102,12.919944,4.516161,3
16,0.837540,2.596944,11.010129,4
17,4.540340,8.788150,8.518890,4
18,8.996979,3.225656,8.009219,4
19,10.276100,11.418788,10.789481,5
20,7.928140,7.126724,2.697410,4
21,5.787040,8.311944,12.691271,5
22,8.108021,7.883468,6.476260,4
23,9.901040,-0.113268,8.816581,4
24,12.718970,1.503070,5.497381,3
25,0.554121,11.310088,14.911371,6
26,2.289200,7.726544,9.774871,4
27,11.945000,5.840510,6.023371,4
28,9.224140,3.315720,0.582629,3
29,13.358077,6.147932,-0.052219,3
30,10.187302,8.564288,10.007610,7
31,10.233060,13.717800,2.975940,6
32,2.522621,11.036488,0.887161,6
33,13.714640,0.878392,13.391077,5
34,7.385019,5.570644,12.489690,4
35,14.097181,9.329588,1.956752,5
36,6.162781,10.950112,3.723681,4
37,9.314279,10.647766,2.944510,5
38,5.312019,2.994864,9.038429,4
39,-0.132560,0.787156,5.547719,5
40,4.750640,10.731944,13.714052,5
41,13.430140,4.092532,3.963919,3
42,6.110258,5.413936,14.020500,3
43,7.511019,2.775288,7.493781,3
44,11.888200,0.303644,3.223881,4
45,13.871587,6.534468,1.630510,4
46,3.771281,8.971360,2.467490,4
47,9.132419,10.222188,12.253919,5
48,10.495102,12.521544,8.328281,4
49,5.585240,4.193812,5.266971,5
50,2.729930,4.012444,3.778581,6
51,8.426079,3.821344,3.842219,4
52,13.448900,10.129300,8.110050,4
53,0.411679,0.732344,11.265300,5
54,5.046730,8.580712,11.166670,4
55,0.091621,4.081920,5.531720,5
56,2.451858,12.809568,1.118510,4
57,5.858240,11.497888,1.436490,4
58,1.650540,0.796063,8.301960,4
59,13.363321,8.669988,9.285910,4
60,7.062879,5.730724,0.380252,3
61,8.136040,7.902036,10.398319,5
62,4.314100,5.227688,4.424710,5
63,2.472360,7.814624,6.389700,4
64,3.575040,8.374576,5.040629,3
65,10.151481,6.147088,11.709229,4
66,9.300581,2.946920,10.010990,4
67,7.053981,12.489000,1.936110,4
68,13.819140,2.342224,6.917190,5
69,1.934321,4.454544,2.332981,3
70,3.127910,12.744026,4.976171,3
71,0.199005,6.535224,11.741481,3
72,11.253100,10.248824,9.505219,5
73,6.526560,10.533488,6.412139,3
74,9.566321,6.763260,4.725290,4
75,3.163530,10.702112,14.215490,4
76,8.993410,6.636168,9.353839,4
77,13.751700,7.508836,6.219742,4
78,11.323700,4.376488,2.790700,5
79,13.990094,6.693368,13.239100,3
80,12.533079,12.851300,6.685020,3
81,8.896802,14.264631,5.426300,2
82,1.406179,6.206932,9.777110,6
83,11.127179,11.811300,13.762048,3
84,5.777290,10.226612,12.372481,7
85,1.581840,2.937520,2.078210,3
86,3.637342,7.273488,8.913381,4
87,8.846220,8.100990,-0.110952,3
88,10.727921,7.765112,2.251871,3
89,7.269619,10.164968,9.054158,4
90,8.152781,1.358276,5.109729,4
91,3.871510,0.754644,2.912450,3
92,1.206442,1.194976,6.675239,6
93,12.913119,5.020712,2.704919,5
94,5.408960,-0.125856,11.408219,5
95,13.954481,12.178968,1.091810,4
96,12.896779,8.267012,7.583139,5
97,1.176040,13.689100,7.590148,4
98,5.568081,7.545888,6.551090,3
99,5.386679,13.112720,1.706490,5
100,2.525040,6.836924,12.214790,2
101,13.299500,11.581788,11.255900,4
102,2.847181,0.181724,13.168481,3
103,9.141081,5.181530,12.792519,4
104,5.417779,2.557232,5.090590,5
105,6.148780,11.449944,11.326871,5
106,9.653721,7.001844,3.128150,4
107,9.058050,1.629044,13.089139,2
108,2.794958,7.759920,1.801890,5
109,11.834179,3.486520,12.437329,4
110,4.038342,2.204668,10.639471,3
111,5.566579,6.273612,12.597200,4
112,11.402263,0.724432,0.397229,5
113,6.535120,9.418212,4.235819,3
114,5.951163,12.820986,7.993540,5
115,7.443721,2.784888,10.971370,3
116,4.074681,13.930788,4.096181,6
117,12.240437,4.244680,8.241330,4
118,1.964540,3.948012,11.491768,4
119,6.118498,5.240070,10.798490,4
120,1.808540,13.688268,4.555510,4
121,12.382479,5.311412,9.600130,3
122,10.876881,2.692868,0.214329,6
123,10.945290,7.685426,11.359271,5
124,5.858863,12.125112,6.499490,4
125,7.703342,9.521712,5.475580,4
126,11.033200,10.678488,0.131710,4
127,12.204900,13.131944,8.345129,5
128,7.499581,5.186744,3.337719,5
129,8.407630,6.528824,7.779581,7
130,9.921319,13.158086,11.122571,3
131,7.721930,13.023988,14.626152,3
132,7.621121,9.195230,0.218829,4
133,10.025379,6.010436,6.224360,7
134,4.906721,12.320800,13.744881,3
135,7.773119,5.763744,1.705970,4
136,11.035940,5.030350,12.819690,4
137,12.128980,3.547044,1.332110,6
138,2.248881,7.113706,4.714790,4
139,12.243879,6.871576,4.681260,5
140,9.536081,11.845012,7.203561,3
141,0.103140,9.704168,12.478700,4
142,7.476321,0.253632,10.478648,5
143,5.568270,9.584044,9.647729,6
144,6.310740,12.905124,10.660958,5
145,0.975479,10.151100,3.706590,3
146,1.348758,0.803283,4.664890,3
147,7.835700,4.695740,5.186771,5
148,11.518279,11.215812,3.010970,4
149,6.517140,1.566400,8.252919,4
150,4.237140,8.094132,13.495248,4
151,11.790521,9.062212,12.301740,6
152,0.557598,4.125556,14.886533,4
153,12.003221,8.801490,10.444619,6
154,0.356712,1.836868,2.260681,2
155,1.843279,8.654016,14.876148,2
156,13.435651,2.752980,8.626119,5
157,-0.061079,10.293376,10.885381,5
158,3.692821,-0.063280,11.371419,3
159,8.518200,13.786812,2.179181,4
160,8.359100,13.790644,11.647081,3
161,10.224081,1.107288,2.847320,5
162,0.602144,7.934986,10.236319,5
163,0.275958,11.128466,4.897971,4
164,4.638842,14.266088,7.978330,4
165,10.513658,4.527080,5.884690,5
166,2.151780,12.129100,14.595519,4
167,12.161363,3.536012,9.811110,5
168,3.998802,2.244270,5.960581,2
169,14.102179,13.568724,6.356919,4
170,9.768240,1.739468,1.318081,5
171,4.612321,3.544744,3.622260,6
172,10.809600,10.762932,12.405690,6
173,3.680940,6.833044,0.643961,4
174,5.714820,9.390712,14.020800,6
175,10.136321,11.031344,5.630790,5
176,8.012521,6.489446,5.467661,6
177,0.904140,13.834812,12.518071,4
178,1.817440,6.087320,1.552819,7
179,3.497130,11.339012,10.976390,4
180,2.018940,4.481326,9.377480,6
181,11.506580,1.742656,1.836890,7
182,14.029073,10.216632,14.088590,4
