pressure_GPa,temperature_K,phase,x_B,formation_eV_atom,energy_above_hull_eV_atom,stable,raw_energy_cell_eV,pv_cell_eV,corrected_energy_atom_eV,vib_energy_atom_eV,total_energy_atom_eV
0,0,Fe,0.0,0.0,0.0,True,-14.422548161579387,0.0,-14.422548161579387,0.0,-14.422548161579387
0,0,Fe2B,0.3333333333333333,-0.24217390858386523,0.0,True,-73.83107174362857,0.0,-12.305178623938096,0.0,-12.305178623938096
0,0,Fe3B,0.25,-0.14325991476892597,0.038370516668972954,False,-204.7384078668711,0.0,-12.796150491679445,0.0,-12.796150491679445
0,0,Fe23B6,0.20689655172413793,-0.10425996088207334,0.046054878928601634,False,-378.8056535193295,0.0,-13.062263914459638,0.0,-13.062263914459638
0,0,FeB,0.5,-0.26186634286047905,0.0,True,-44.58039734040852,0.0,-11.14509933510213,0.0,-11.14509933510213
0,0,FeB2,0.6666666666666666,-0.06846818391807297,0.1061093779889131,False,-117.26315343656574,0.0,-9.771929453047145,0.0,-9.771929453047145
0,0,FeB4,0.8,-0.07827214806540006,0.026474389078791544,False,-88.37916038704407,0.0,-8.837916038704407,0.0,-8.837916038704407
0,0,boron,1.0,0.0,0.0,True,-88.12701387484695,0.0,-7.343917822903912,0.0,-7.343917822903912
0,1800,Fe,0.0,0.0,0.0,True,-14.422548161579387,0.0,-14.422548161579387,-0.8481293643206375,-15.270677525900025
0,1800,Fe2B,0.3333333333333333,-0.244578508420787,0.0,True,-73.83107174362857,0.0,-12.305178623938096,-0.6627223298385535,-12.967900953776649
0,1800,Fe3B,0.25,-0.165672400626395,0.017761480689195253,False,-204.7384078668711,0.0,-12.796150491679445,-0.7296831244388532,-13.525833616118298
0,1800,Fe23B6,0.20689655172413793,-0.1131641572422577,0.038643192812023885,False,-378.8056535193295,0.0,-13.062263914459638,-0.7404608221379914,-13.80272473659763
0,1800,FeB,0.5,-0.25904047391059315,0.0,True,-44.58039734040852,0.0,-11.14509933510213,-0.5635860438922451,-11.708685378994375
0,1800,FeB2,0.6666666666666666,-0.08115367913801208,0.09153997013571671,False,-117.26315343656574,0.0,-9.771929453047145,-0.48519159090256897,-10.257121043949713
0,1800,FeB4,0.8,-0.09315496301491066,0.010461226549326574,False,-88.37916038704407,0.0,-8.837916038704407,-0.4122642569045398,-9.250180295608946
0,1800,boron,1.0,0.0,0.0,True,-88.12701387484695,0.0,-7.343917822903912,-0.28469446136362475,-7.628612284267537
5,0,Fe,0.0,0.0,0.0,True,-14.417571815583964,0.35926624672750834,-14.058305568856456,0.0,-14.058305568856456
5,0,Fe2B,0.3333333333333333,-0.27918457674797104,0.0,True,-73.81457308336641,1.6646470059400802,-12.024987679571055,0.0,-12.024987679571055
5,0,Fe3B,0.25,-0.16692082272231445,0.04246760983866382,False,-204.68321395845,4.829621285590159,-12.490849542053741,0.0,-12.490849542053741
5,0,Fe23B6,0.20689655172413793,-0.117997499498939,0.05528947917221544,False,-378.69210016139033,9.204355567684587,-12.740956710127785,0.0,-12.740956710127785
5,0,FeB,0.5,-0.30770876436661787,0.0,True,-44.57075195674781,0.9817094200557546,-10.897260634173014,0.0,-10.897260634173014
5,0,FeB2,0.6666666666666666,-0.1200381703765121,0.08510100586789984,False,-117.24271340337295,2.602647717378291,-9.553338807166222,0.0,-9.553338807166222
5,0,FeB4,0.8,-0.11135107962864943,0.011732426117997685,False,-88.35659163337957,2.1600843333294684,-8.61965073000501,0.0,-8.61965073000501
5,0,boron,1.0,0.0,0.0,True,-88.0986322766447,2.649054227568649,-7.120798170756337,0.0,-7.120798170756337
5,1800,Fe,0.0,0.0,0.0,True,-14.417571815583964,0.35926624672750834,-14.058305568856456,-0.8263025772468388,-14.884608146103295
5,1800,Fe2B,0.3333333333333333,-0.2845942940382358,0.0,True,-73.81457308336641,1.6646470059400802,-12.024987679571055,-0.6480710078649693,-12.673058687436024
5,1800,Fe3B,0.25,-0.19123870361622153,0.022207016912455302,False,-204.68321395845,4.829621285590159,-12.490849542053741,-0.7128894931366431,-13.203739035190384
5,1800,Fe23B6,0.20689655172413793,-0.12757276509323567,0.04907196913739342,False,-378.69210016139033,9.204355567684587,-12.740956710127785,-0.7218935959411892,-13.462850306068974
5,1800,FeB,0.5,-0.3074623303200106,0.0,True,-44.57075195674781,0.9817094200557546,-10.897260634173014,-0.5505942131920294,-11.447854847365043
5,1800,FeB2,0.6666666666666666,-0.13334599968381688,0.07162888719619018,False,-117.24271340337295,2.602647717378291,-9.553338807166222,-0.4723278332098739,-10.025666640376096
5,1800,FeB4,0.8,-0.11935316004518448,0.0036317720828197286,False,-88.35659163337957,2.1600843333294684,-8.61965073000501,-0.39356556965024864,-9.013216299655259
5,1800,boron,1.0,0.0,0.0,True,-88.0986322766447,2.649054227568649,-7.120798170756337,-0.2753787172304332,-7.39617688798677
10,0,Fe,0.0,0.0,0.0,True,-14.404865516987353,0.7015297634478881,-13.703335753539465,0.0,-13.703335753539465
10,0,Fe2B,0.3333333333333333,-0.3137620566271,0.0,True,-73.76989126004129,3.269483111153899,-11.750068024814565,0.0,-11.750068024814565
10,0,Fe3B,0.25,-0.1891256263514247,0.04619591611890028,False,-204.53336865701107,9.45834400298083,-12.19218904087689,0.0,-12.19218904087689
10,0,Fe23B6,0.20689655172413793,-0.13097105297974565,0.06377780975431643,False,-378.38467002038544,17.99630876766435,-12.427184870783487,0.0,-12.427184870783487
10,0,FeB,0.5,-0.3512846452749727,0.0,True,-44.544315363579834,1.9280124804340846,-10.654075720786437,0.0,-10.654075720786437
10,0,FeB2,0.6666666666666666,-0.1687685833267114,0.06689826687876993,False,-117.18643179084393,5.129894596897824,-9.338044766162175,0.0,-9.338044766162175
10,0,FeB4,0.8,-0.14317261414988813,0.0,True,-88.29877466439507,4.242405835949533,-8.405636882844552,0.0,-8.405636882844552
10,0,boron,1.0,0.0,0.0,True,-88.02112982359972,5.194173053798155,-6.902246397483464,0.0,-6.902246397483464
10,1800,Fe,0.0,0.0,0.0,True,-14.404865516987353,0.7015297634478881,-13.703335753539465,-0.8080160536771706,-14.511351807216634
10,1800,Fe2B,0.3333333333333333,-0.3204038592641538,0.0,True,-73.76989126004129,3.269483111153899,-11.750068024814565,-0.6343207473766229,-12.384388772191189
10,1800,Fe3B,0.25,-0.2143866139167212,0.025916280531394165,False,-204.53336865701107,9.45834400298083,-12.19218904087689,-0.6980242095392657,-12.890213250416156
10,1800,Fe23B6,0.20689655172413793,-0.15018024368304417,0.048691117239534065,False,-378.38467002038544,17.99630876766435,-12.427184870783487,-0.7152918664192008,-13.142476737202687
10,1800,FeB,0.5,-0.35282066449922844,0.0,True,-44.544315363579834,1.9280124804340846,-10.654075720786437,-0.5390464094950265,-11.193122130281465
10,1800,FeB2,0.6666666666666666,-0.18177229830309827,0.060417050970788755,False,-117.18643179084393,5.129894596897824,-9.338044766162175,-0.460345550778358,-9.798390316940534
10,1800,FeB4,0.8,-0.15368429709361386,0.0,True,-88.29877466439507,4.242405835949533,-8.405636882844552,-0.3857186751706559,-8.791355558015209
10,1800,boron,1.0,0.0,0.0,True,-88.02112982359972,5.194173053798155,-6.902246397483464,-0.26700472686437265,-7.169251124347836
