route,species_a,species_b,type_a,type_b,x_A,x_B_pair,rho_A,rho_B_pair,rho_tot,k,S_cc,S_AA,S_AB,S_BB_pair,S_cc0,n_frames,frac_tag,dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.38511759e-02,9.54047035e-02,1.19255879e-01,1.40000000e-01,1.17093108e+00,1.28402426e-01,-1.55574389e-01,1.91976477e-01,,361,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.38511759e-02,9.54047035e-02,1.19255879e-01,1.80000000e-01,1.21927312e+00,1.33807430e-01,-1.61792291e-01,1.99880006e-01,,361,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.38511759e-02,9.54047035e-02,1.19255879e-01,2.30000000e-01,1.49400636e+00,1.59468181e-01,-2.04531202e-01,2.66485560e-01,,361,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.38511759e-02,9.54047035e-02,1.19255879e-01,2.60000000e-01,5.08381281e-01,5.42855812e-02,-6.92909711e-02,9.27893489e-02,,361,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.38511759e-02,9.54047035e-02,1.19255879e-01,2.80000000e-01,6.12220772e-01,6.58303371e-02,-8.29288122e-02,1.08557272e-01,,361,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.38511759e-02,9.54047035e-02,1.19255879e-01,3.00000000e-01,1.55902364e+00,1.63432902e-01,-2.17475221e-01,2.93340165e-01,,361,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.38511759e-02,9.54047035e-02,1.19255879e-01,3.20000000e-01,5.75627528e-01,6.08818349e-02,-7.93122360e-02,1.07566930e-01,,361,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.38511759e-02,9.54047035e-02,1.19255879e-01,3.40000000e-01,3.09207454e-01,3.29188627e-02,-4.21275774e-02,5.81477497e-02,,361,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.38511759e-02,9.54047035e-02,1.19255879e-01,3.50000000e-01,1.43839917e+00,1.49907419e-01,-2.01747484e-01,2.75940379e-01,,361,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.38511759e-02,9.54047035e-02,1.19255879e-01,3.70000000e-01,1.43569806e+00,1.47469475e-01,-2.04142423e-01,2.87734874e-01,,361,last0.5,SUPERCELL.dump
