route,species_a,species_b,type_a,type_b,x_A,x_B_pair,rho_A,rho_B_pair,rho_tot,k,S_cc,S_AA,S_AB,S_BB_pair,S_cc0,n_frames,frac_tag,dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,6.40000000e-01,5.84922379e-02,6.85817776e-03,-8.73114069e-03,1.55149888e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,6.50000000e-01,8.17621544e-02,9.56139525e-03,-1.24204303e-02,2.03636505e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,6.70000000e-01,8.50119346e-02,1.00445600e-02,-1.27951520e-02,2.04745557e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,6.80000000e-01,6.83373145e-02,7.93995683e-03,-1.03657756e-02,1.79667045e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,7.00000000e-01,8.19283853e-02,9.80956558e-03,-1.21304492e-02,1.92672207e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,7.20000000e-01,8.77256142e-02,1.01496399e-02,-1.34803837e-02,2.23626267e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,7.30000000e-01,6.87127813e-02,8.14218141e-03,-1.02023542e-02,1.72908135e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,7.50000000e-01,7.43452311e-02,8.81359515e-03,-1.10723671e-02,1.83745587e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,7.60000000e-01,6.20248266e-02,7.27547997e-03,-9.26788147e-03,1.63268203e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,7.70000000e-01,8.75374857e-02,1.03972890e-02,-1.30664920e-02,2.10838910e-02,,335,last0.5,SUPERCELL.dump
