B_index,x_A,y_A,z_A,coordination_B
1,9.992124,6.276160,2.651902,5
2,6.151724,4.284639,0.040593,5
3,5.140888,2.852539,21.239674,6
4,6.454936,9.337660,0.585796,5
5,8.980442,6.335721,4.287302,5
6,0.609712,7.519439,5.689093,5
7,9.991752,10.714781,2.033191,6
8,10.433138,8.131599,0.415504,6
9,9.340788,0.384660,2.200050,5
10,2.035864,3.567819,1.858640,5
11,6.488136,3.866619,1.849696,6
12,9.405788,3.473680,2.535598,6
13,7.691948,8.610920,1.694310,6
14,10.236640,9.302219,3.132296,6
15,9.232480,5.143640,1.718107,6
16,10.096936,9.908181,0.529602,6
17,10.288085,3.616481,3.854696,5
18,7.864336,5.061490,4.334391,6
19,9.001592,5.545379,0.003604,6
20,7.768824,4.227179,2.742390,6
21,7.995385,0.614399,3.222702,5
22,10.471760,7.755600,2.353702,6
23,5.160764,5.047379,1.424690,6
24,10.768588,4.682499,2.500198,5
25,4.942752,3.919750,2.931296,5
26,9.254876,8.864221,1.695093,6
27,6.419860,1.430442,3.770402,5
28,5.094624,2.344019,2.193002,5
29,0.498297,8.547481,2.966398,6
30,7.853164,1.878081,4.453098,5
31,6.890040,7.525119,0.696893,6
32,4.204924,7.845720,1.947340,5
33,-0.172588,2.078381,0.159698,5
34,8.192860,6.065750,2.854902,6
35,5.093840,6.277442,4.574560,5
36,0.468727,7.626879,1.129402,6
37,7.135160,7.190919,2.375310,6
38,2.180124,5.971319,3.780702,4
39,8.566440,3.472260,4.117202,6
40,3.620224,4.457170,1.649896,5
41,1.190473,9.318921,1.573820,5
42,5.593348,6.656081,1.602880,6
43,9.614540,9.296230,4.792798,6
44,0.414440,10.348981,2.614598,6
45,4.893360,4.448121,4.619502,5
46,9.414497,4.697240,5.066502,5
47,1.602288,6.258981,0.786298,5
48,0.879536,3.508060,0.206096,5
49,11.098209,1.260421,1.831704,5
50,6.799736,8.639921,3.200496,7
51,0.159688,10.649121,0.770402,6
52,5.205440,7.960550,0.207588,6
53,5.464240,7.322879,3.353502,6
54,0.792057,4.834981,1.487504,6
55,2.307285,5.327280,2.190940,5
56,3.432052,5.497681,4.988191,5
57,0.524986,1.449979,3.222102,6
58,6.287188,5.171619,5.094007,6
59,1.774233,4.833710,5.075202,5
60,6.449290,10.166000,2.342698,6
61,7.859602,1.267501,0.774198,4
62,2.291560,1.319299,7.532398,2
63,8.906930,7.679621,5.213500,6
64,1.778342,2.573182,3.254187,5
65,8.666076,10.705921,5.547230,5
66,6.415548,11.361960,3.515502,4
67,6.132040,6.596158,6.065696,6
68,10.773610,0.771819,4.625950,5
69,7.645724,9.059521,4.806450,6
70,5.116162,8.975700,3.089502,6
71,0.175488,2.594921,4.287191,5
72,6.289060,2.033499,0.873391,5
73,3.473576,8.614350,0.366198,5
74,0.765140,-0.236639,3.913498,5
