x_B,P_GPa,k,S_cc_KBI,S_cc0_KBI
0.6,0,2.0537,3.138695e-01,1.023568e-01
0.6,0,2.0738,3.151410e-01,1.023568e-01
0.6,0,2.0940,3.162291e-01,1.023568e-01
0.6,0,2.1141,3.171323e-01,1.023568e-01
0.6,0,2.1342,3.178497e-01,1.023568e-01
0.6,0,2.1544,3.183809e-01,1.023568e-01
0.6,0,2.1745,3.187261e-01,1.023568e-01
0.6,0,2.1946,3.188860e-01,1.023568e-01
0.6,0,2.2148,3.188619e-01,1.023568e-01
0.6,0,2.2349,3.186555e-01,1.023568e-01
0.6,0,2.2550,3.182692e-01,1.023568e-01
0.6,0,2.2752,3.177057e-01,1.023568e-01
0.6,0,2.2953,3.169682e-01,1.023568e-01
0.6,0,2.3154,3.160604e-01,1.023568e-01
0.6,0,2.3356,3.149865e-01,1.023568e-01
0.6,0,2.3557,3.137509e-01,1.023568e-01
0.6,0,2.3758,3.123585e-01,1.023568e-01
0.6,0,2.3960,3.108146e-01,1.023568e-01
0.6,0,2.4161,3.091246e-01,1.023568e-01
0.6,0,2.4362,3.072944e-01,1.023568e-01
0.6,0,2.4564,3.053302e-01,1.023568e-01
0.6,0,2.4765,3.032382e-01,1.023568e-01
0.6,0,2.4966,3.010250e-01,1.023568e-01
0.6,0,2.5168,2.986973e-01,1.023568e-01
0.6,0,2.5369,2.962620e-01,1.023568e-01
0.6,0,2.5570,2.937261e-01,1.023568e-01
0.6,0,2.5772,2.910966e-01,1.023568e-01
0.6,0,2.5973,2.883807e-01,1.023568e-01
0.6,0,2.6174,2.855856e-01,1.023568e-01
0.6,0,2.6376,2.827184e-01,1.023568e-01
0.6,0,2.6577,2.797864e-01,1.023568e-01
0.6,0,2.6779,2.767968e-01,1.023568e-01
0.6,0,2.6980,2.737566e-01,1.023568e-01
0.6,0,2.7181,2.706729e-01,1.023568e-01
0.6,0,2.7383,2.675526e-01,1.023568e-01
0.6,0,2.7584,2.644026e-01,1.023568e-01
0.6,0,2.7785,2.612296e-01,1.023568e-01
0.6,0,2.7987,2.580402e-01,1.023568e-01
0.6,0,2.8188,2.548409e-01,1.023568e-01
0.6,0,2.8389,2.516378e-01,1.023568e-01
0.6,0,2.8591,2.484373e-01,1.023568e-01
0.6,0,2.8792,2.452453e-01,1.023568e-01
0.6,0,2.8993,2.420674e-01,1.023568e-01
0.6,0,2.9195,2.389095e-01,1.023568e-01
0.6,0,2.9396,2.357768e-01,1.023568e-01
0.6,0,2.9597,2.326747e-01,1.023568e-01
0.6,0,2.9799,2.296082e-01,1.023568e-01
0.6,0,3.0000,2.265823e-01,1.023568e-01
0.7,0,0.0000,1.356066e-01,1.356066e-01
0.7,0,0.0201,1.356032e-01,1.356066e-01
0.7,0,0.0403,1.355930e-01,1.356066e-01
0.7,0,0.0604,1.355761e-01,1.356066e-01
0.7,0,0.0805,1.355526e-01,1.356066e-01
0.7,0,0.1007,1.355227e-01,1.356066e-01
0.7,0,0.1208,1.354867e-01,1.356066e-01
0.7,0,0.1409,1.354449e-01,1.356066e-01
0.7,0,0.1611,1.353976e-01,1.356066e-01
0.7,0,0.1812,1.353453e-01,1.356066e-01
0.7,0,0.2013,1.352885e-01,1.356066e-01
0.7,0,0.2215,1.352278e-01,1.356066e-01
0.7,0,0.2416,1.351638e-01,1.356066e-01
0.7,0,0.2617,1.350972e-01,1.356066e-01
0.7,0,0.2819,1.350290e-01,1.356066e-01
0.7,0,0.3020,1.349601e-01,1.356066e-01
0.7,0,0.3221,1.348913e-01,1.356066e-01
0.7,0,0.3423,1.348240e-01,1.356066e-01
0.7,0,0.3624,1.347592e-01,1.356066e-01
0.7,0,0.3826,1.346984e-01,1.356066e-01
0.7,0,0.4027,1.346429e-01,1.356066e-01
0.7,0,0.4228,1.345944e-01,1.356066e-01
0.7,0,0.4430,1.345545e-01,1.356066e-01
0.7,0,0.4631,1.345249e-01,1.356066e-01
0.7,0,0.4832,1.345076e-01,1.356066e-01
0.7,0,0.5034,1.345046e-01,1.356066e-01
0.7,0,0.5235,1.345181e-01,1.356066e-01
0.7,0,0.5436,1.345502e-01,1.356066e-01
0.7,0,0.5638,1.346034e-01,1.356066e-01
0.7,0,0.5839,1.346800e-01,1.356066e-01
0.7,0,0.6040,1.347828e-01,1.356066e-01
0.7,0,0.6242,1.349142e-01,1.356066e-01
