B_index,x_A,y_A,z_A,coordination_B
1,9.572210,0.822863,3.036970,2
2,7.043519,7.218048,7.367266,3
3,3.629240,12.980648,5.393874,4
4,10.975951,13.207734,9.167353,3
5,0.087919,1.984217,3.239874,3
6,11.333400,13.043034,15.060900,6
7,11.679000,5.159369,6.795726,3
8,13.386239,2.533114,14.136421,3
9,4.331110,1.343648,16.071853,5
10,7.862040,3.927266,0.945932,3
11,13.637751,10.565669,13.274466,3
12,13.036642,12.258234,0.795121,3
13,12.601871,11.185917,14.555253,4
14,8.434540,13.360583,1.784974,3
15,11.568130,6.265648,5.209774,2
16,3.569560,7.510927,13.932336,3
17,7.737781,8.499780,3.836426,3
18,2.379410,4.192317,0.508226,4
19,9.522729,2.157014,7.868374,5
20,12.490370,4.005434,6.076826,4
21,9.442450,3.746152,8.409021,4
22,12.934051,7.989169,-0.415459,4
23,8.516361,2.047669,10.711806,4
24,1.453910,1.827917,4.250674,2
25,13.627549,7.725683,5.174521,3
26,4.193529,1.560534,2.295747,5
27,10.061829,4.572748,9.700521,4
28,0.844232,5.245590,5.400074,2
29,10.150610,0.816048,12.291953,2
30,5.350820,10.002697,-0.013825,2
31,12.490700,12.339534,13.296053,4
32,4.412710,10.271500,2.508680,3
33,8.537371,0.976851,16.429279,4
34,1.639329,7.879534,8.900466,4
35,0.270451,7.600214,7.904947,3
36,2.303419,4.179517,5.580726,3
37,8.274071,5.601520,11.858900,4
38,12.659071,0.912303,11.203253,3
39,9.701361,13.870817,3.093850,4
40,4.008671,1.075283,6.641247,3
41,4.433910,-0.129669,5.234379,4
42,5.830470,1.420217,7.696179,3
43,11.773722,6.247666,-0.360932,3
44,3.931019,13.401734,15.816753,4
45,11.480900,14.495152,7.794360,4
46,5.852729,6.568748,0.238421,4
47,6.709219,2.699410,10.455321,4
48,3.946090,1.360597,4.130726,4
49,8.207471,2.520990,0.072453,2
50,8.034629,11.675966,15.129447,4
51,11.820510,4.921934,12.556874,3
52,5.494119,13.561900,4.551247,3
53,5.544060,3.602114,11.567074,2
54,13.048400,13.625966,1.742594,3
55,13.678010,8.792840,6.947753,3
56,7.561770,12.314166,0.955274,4
57,-0.147510,8.357569,3.783574,3
58,2.554981,12.643848,8.679056,4
59,10.397719,6.155290,9.568646,6
60,10.369960,9.828066,4.680974,2
61,11.474371,2.458566,10.426300,2
62,8.942481,10.457477,8.116206,3
63,11.942661,1.439820,1.009326,4
64,11.285480,12.379003,16.704553,4
65,1.443610,10.815234,9.321774,3
66,10.052229,8.033469,13.854300,2
67,3.451281,9.164366,14.299800,3
68,10.070729,2.556120,9.519120,6
69,2.634210,10.017066,2.974447,5
70,4.133590,12.465500,9.529074,2
71,8.865039,7.681386,0.705353,3
72,0.979310,-0.001983,15.176079,1
73,3.630481,6.499452,12.344556,5
74,7.424020,11.631600,16.584006,4
75,1.806290,9.295969,9.846906,4
76,-0.209690,8.136331,0.740641,4
77,2.748549,5.437147,11.581274,2
78,10.176610,5.865583,0.211974,3
79,1.165219,10.755034,16.515702,4
80,13.033171,3.576283,3.184540,4
81,12.038500,5.728587,8.442974,2
82,3.513510,7.205580,7.787410,2
83,0.875081,6.573366,9.175679,4
84,11.382142,0.122831,2.564779,5
85,7.274571,5.793340,10.226306,2
86,7.959550,-0.100366,15.461247,4
87,5.411710,6.718077,4.095074,4
88,12.722139,4.138766,13.662021,5
89,0.347290,3.722083,13.189353,3
90,3.323280,2.584231,0.560779,5
91,6.254829,7.067752,15.197679,1
92,5.768351,8.759548,8.497753,4
93,13.436439,8.905552,2.310947,3
94,2.075090,4.834652,2.382147,2
95,12.276629,5.406780,2.066547,2
96,3.853190,2.916383,9.713170,4
97,5.280771,3.901583,5.896553,1
98,2.409681,9.674448,15.761147,4
99,11.444710,9.396487,2.122968,2
100,12.764329,10.681783,9.523106,3
101,6.697181,5.322357,1.041010,4
102,8.990839,1.197534,9.348946,3
103,4.304432,10.041034,4.427226,6
104,4.883619,12.538283,11.811447,2
105,6.967351,9.486530,12.615000,1
106,1.143081,4.595583,3.735610,3
107,10.840171,1.239966,7.183210,3
108,9.917719,13.107166,-0.258211,5
109,0.420339,2.706334,11.515886,3
110,5.379381,2.424617,3.286326,4
111,12.160410,12.205883,5.466494,5
112,3.834481,1.118440,13.062047,1
113,9.659151,12.528483,12.058653,2
114,8.040229,5.744283,5.422153,3
115,4.225529,7.097483,0.684055,3
116,5.670171,10.019927,7.350874,4
117,2.453390,1.293386,7.487274,1
118,5.442210,3.527748,9.751853,5
119,3.747239,12.838100,14.406956,4
120,1.235139,13.200400,7.722706,2
121,1.776390,9.747657,11.818974,2
122,2.498871,3.814369,8.679821,3
123,1.783649,10.416683,0.797721,3
124,4.623319,2.853283,1.835574,4
125,2.547990,5.535490,16.263453,2
126,3.403029,12.015334,12.448346,3
127,1.101319,10.564866,2.248747,3
128,5.596910,2.018634,9.285947,5
129,4.796110,13.152752,8.142486,3
130,8.566339,6.756483,3.662500,4
131,11.534661,7.345186,13.989121,3
132,-0.141319,0.944934,11.857816,3
133,12.850410,12.360257,9.892821,4
134,13.132481,2.562780,6.880726,2
135,5.299419,7.623283,2.700353,4
136,3.775310,3.621348,5.236121,2
137,1.042890,0.103069,10.372700,1
138,12.080410,9.350366,16.497300,3
139,5.302461,6.942983,12.153647,3
140,7.328910,1.274748,13.523359,2
141,7.462819,-0.119448,5.166226,2
142,6.529061,0.153780,1.834726,0
143,10.225861,5.070848,11.415994,5
144,10.329590,4.695431,2.123268,3
145,11.403481,10.628387,15.833474,3
146,4.622270,-0.117448,-0.396721,4
147,4.862242,0.336717,8.809347,3
148,8.147981,10.006000,1.886374,3
149,1.091510,4.588690,9.228174,4
150,6.743220,7.634907,12.732900,4
151,12.314200,3.300966,15.219247,4
152,8.406670,13.443734,14.758346,4
153,11.796871,3.549780,4.241874,3
154,9.481929,-0.141634,0.265353,6
155,2.366190,13.428234,2.591679,3
156,6.310310,0.206414,14.492526,3
157,7.116961,10.582848,0.623068,4
158,0.354681,5.862252,10.578076,3
159,13.781400,12.692000,11.327900,2
160,13.895700,12.010697,16.657457,2
161,9.800258,10.492114,11.887653,2
162,1.801810,12.945234,5.708653,2
163,0.878749,10.221248,13.049974,2
164,7.255610,10.267600,3.267526,3
165,3.601081,7.649234,2.929374,4
166,9.786942,12.568466,14.197947,4
167,6.921470,2.642034,3.639920,3
168,1.260510,9.694448,4.043226,4
169,7.947710,3.281834,7.225136,2
170,5.619129,10.927548,3.480940,4
171,2.845871,2.056069,14.538400,2
172,2.550610,13.924066,0.858226,3
173,2.201261,12.714714,13.503753,2
174,8.476210,8.032403,7.184921,3
175,8.820471,5.050448,3.836879,4
176,8.393039,12.294134,7.232553,3
177,12.919600,5.315634,15.837253,3
178,0.172371,4.271134,10.668547,3
179,9.564158,9.455410,1.319694,3
180,1.828619,-0.103466,2.191874,4
181,7.068910,4.250431,14.045547,1
182,12.255819,12.702407,7.149353,4
183,4.554229,7.271252,10.526900,2
184,7.405939,4.132814,2.881721,4
185,4.976181,14.315534,14.962066,5
186,2.562329,6.086052,13.640974,3
187,5.050880,10.062469,5.917874,3
188,7.449729,6.843748,0.744826,3
189,4.778681,5.967266,2.538521,4
190,7.601340,7.641377,11.220274,4
191,9.948661,7.985247,8.486674,3
192,1.923390,9.815170,7.560986,2
193,5.050860,2.846748,16.771853,3
194,3.004781,7.107566,6.227026,1
195,11.886880,2.323110,5.674326,4
196,2.677290,1.128314,3.214226,4
197,10.771161,2.907930,15.801900,2
198,7.594610,13.234248,10.973347,1
199,11.836730,11.649031,8.602847,4
200,7.617871,13.852127,6.581250,2
201,10.860971,12.830866,4.250870,3
202,9.595281,9.443052,13.212336,2
203,6.909742,7.031670,4.804453,4
204,10.334249,0.940266,15.728879,4
205,4.847619,12.017634,4.967010,5
206,12.069729,8.129152,5.895774,3
207,12.811010,6.300357,14.044800,5
208,7.960500,6.589483,13.005226,3
209,7.380480,9.258837,7.855594,6
210,4.272590,13.185400,0.241826,3
211,4.379240,9.731069,15.579316,3
212,8.267371,13.274369,16.396853,7
213,3.206190,8.747830,4.072774,4
214,0.423888,1.057434,16.727753,2
215,10.250758,7.882583,10.161500,3
216,10.881400,6.767607,11.355353,3
217,10.475271,11.388583,5.080394,4
218,13.162210,14.122452,8.135868,2
219,1.031319,5.466631,-0.038521,3
220,13.013739,8.145370,14.915532,4
221,11.968829,10.415900,4.473421,4
222,8.307780,0.982514,12.003900,3
223,13.226671,13.763183,12.694053,3
224,11.830410,0.020631,12.755621,4
225,11.037219,0.030234,0.655152,4
226,7.809551,1.400900,4.662621,2
227,8.911340,4.526534,14.923446,1
228,13.156700,2.373537,1.935479,4
229,4.259150,4.521840,8.773950,3
230,13.806333,11.470669,5.237174,2
231,0.225010,13.455834,2.675106,3
232,13.830200,2.206017,0.306753,3
233,13.609700,0.138983,5.030774,0
234,5.605610,10.308037,9.036474,3
235,1.182510,7.163283,0.656594,3
236,11.668571,-0.126386,14.761356,3
237,13.037939,9.217834,10.203546,1
238,6.469581,12.657200,12.299974,2
239,1.379381,8.767248,-0.328094,5
