B_index,x_A,y_A,z_A,coordination_B
1,4.545793,0.274936,8.026332,4
2,4.638913,5.246780,2.511640,6
3,3.155757,4.439028,3.134932,5
4,2.247443,8.105409,6.759480,6
5,2.578850,5.251136,5.929690,4
6,1.591513,7.153036,8.084532,7
7,6.814030,0.653709,2.958440,6
8,5.151223,6.661672,6.486932,5
9,2.552187,9.210572,1.332540,5
10,4.710233,1.106891,17.511932,5
11,6.599033,1.173609,1.401736,4
12,5.352010,6.996572,3.118900,5
13,1.620843,3.688864,7.947468,4
14,2.271480,0.691664,4.513964,4
15,6.146530,0.451072,5.675820,6
16,4.201057,1.762372,3.319136,4
17,1.493443,4.903664,2.951132,4
18,5.597880,7.460836,8.073793,4
19,1.160774,5.741328,5.607268,5
20,12.386100,5.732064,2.072064,7
21,4.054257,1.587072,6.807960,5
22,5.596787,4.172964,4.495432,6
23,4.410887,4.136172,7.890268,7
24,3.623287,6.762972,5.665568,5
25,6.399920,5.879709,3.590603,7
26,3.490783,1.825536,5.184864,5
27,5.298813,0.716896,4.115068,6
28,5.779287,1.182936,7.142132,6
29,5.923730,3.228450,6.994868,5
30,6.152557,5.787800,5.461410,6
31,5.650170,4.296491,1.489632,6
32,6.588053,2.704080,1.240029,5
33,3.687457,3.066650,2.509964,5
34,0.822143,6.044784,3.812668,5
35,4.057110,5.358091,6.657480,5
36,0.754230,1.883864,2.658670,5
37,1.403243,4.077136,6.024268,5
38,0.816443,0.957346,7.614164,3
39,4.036613,3.295272,4.149568,5
40,6.897973,1.387164,4.426264,6
41,6.547230,4.257272,2.872536,8
42,5.792330,5.584991,0.552197,4
43,2.930643,6.335791,8.697520,6
44,6.708287,4.111472,5.728232,6
45,3.189287,2.756836,8.089903,5
46,0.119513,2.940664,5.249968,5
47,1.944439,0.639454,0.593264,6
48,1.090713,4.855236,1.352636,5
49,6.020187,0.750991,8.845936,5
50,0.679174,3.236928,1.447932,5
51,7.080513,-0.084872,0.450264,6
52,1.177143,6.972136,0.214532,5
53,0.831040,7.164745,6.502064,5
54,8.914387,9.689330,2.123768,7
55,6.806210,2.270972,8.051232,6
56,13.836496,5.848372,0.594432,6
57,13.684617,4.612428,5.714532,6
58,1.569443,5.273730,8.788432,6
59,1.623843,2.097072,8.635232,4
60,3.129617,2.374019,15.771603,5
61,13.867700,8.313755,2.232632,7
62,12.456757,2.638472,0.424068,6
63,9.386787,2.956728,6.262932,6
64,13.104013,9.380636,6.794168,5
65,9.090110,7.451391,17.770636,6
66,11.930161,0.796299,9.501997,5
67,7.277900,7.201528,8.502864,7
68,12.487783,4.134128,2.657597,6
69,8.544457,2.356072,7.754632,5
70,8.767463,5.433428,4.360364,6
71,8.477387,6.141109,7.267836,6
72,11.013413,7.010236,2.471280,6
73,9.541674,0.106772,7.852432,5
74,9.173550,10.507200,3.701797,7
75,1.836800,3.653570,0.278877,5
76,13.420830,6.862844,3.475400,7
77,12.261893,2.486080,3.364832,4
78,10.056713,6.569236,6.932832,6
79,7.473330,6.563809,4.700932,6
80,13.810800,5.230136,2.762780,8
81,13.256930,2.551109,2.026636,6
82,10.823813,1.990328,3.985064,4
83,13.856971,1.315109,6.282232,5
84,7.911257,5.506672,2.891090,6
85,8.362313,3.955791,3.516420,7
86,11.962070,1.535164,6.676380,6
87,9.415587,2.544900,3.092268,5
88,0.618640,1.487264,4.579432,5
89,6.902496,3.131364,4.314232,6
90,12.117353,1.020336,0.961377,6
91,9.585457,3.806128,7.803997,5
92,12.112374,4.993764,5.509364,4
93,13.074800,3.859864,4.300964,6
94,10.234013,5.865736,3.882097,5
95,12.531243,7.423028,4.702810,5
96,10.871333,5.040572,2.361036,6
97,8.144457,1.562772,0.706243,6
98,12.559223,5.642072,8.590678,4
99,10.488957,1.703736,5.585332,6
100,9.619030,1.854836,1.446232,6
101,9.735887,1.031772,3.134268,6
102,8.173087,6.551517,1.335761,6
103,10.926483,6.237150,5.333064,5
104,13.700913,7.675136,0.586203,7
105,11.344300,0.477664,7.958040,6
106,10.463200,0.195564,6.295064,6
107,13.712370,8.166744,5.719036,5
108,10.002157,4.695209,0.816421,5
109,9.428230,3.522291,1.792068,5
110,8.278057,0.505736,3.589600,6
111,10.894213,1.875164,0.418817,7
112,11.012300,3.214672,6.684164,5
113,9.621274,5.378219,8.130200,6
114,9.069374,5.825430,0.033464,5
115,10.833987,7.617090,4.125064,6
116,9.006333,1.238700,6.425220,6
117,8.379830,3.926770,5.233036,6
118,7.875457,0.505709,5.534220,6
119,12.440200,4.106845,7.104036,5
120,7.906874,5.349772,5.942432,6
121,3.802513,7.721164,4.227932,5
122,2.841587,14.215028,6.551803,4
123,0.749616,-0.009228,2.190864,6
124,3.079426,0.365864,6.104164,4
125,1.146070,7.649772,3.577468,6
126,3.428950,10.463872,5.966636,4
127,0.284849,15.069285,8.212410,5
128,1.392443,8.457072,5.472036,7
129,2.608770,7.577300,1.083268,4
130,5.494657,12.495736,5.393336,6
131,5.374833,8.740340,3.734020,6
132,4.659257,10.431191,7.322836,4
133,3.018757,9.780914,9.260632,5
134,4.037243,13.904754,8.360640,5
135,2.810943,10.135244,2.807760,7
136,3.999117,14.056134,0.892968,8
137,3.851057,14.723809,2.559632,6
138,3.898557,13.790991,5.141032,4
139,5.683457,14.799828,3.198868,7
140,1.426813,9.528384,8.381897,7
141,4.731213,10.081536,2.814068,7
142,2.763343,13.469036,3.732450,7
143,2.370257,11.581800,5.841232,4
144,5.402020,12.001274,2.714032,6
145,1.118790,13.796228,4.443264,5
146,5.318257,13.672828,1.872668,6
147,3.651270,12.778236,2.211464,7
148,6.502830,10.768524,5.246368,6
149,5.326153,14.649255,4.953036,7
150,3.847387,9.397445,4.285429,6
151,1.901180,13.020609,6.981297,5
152,1.686974,14.927394,3.532130,5
153,2.377057,11.803591,2.854164,5
154,5.738413,13.604536,8.538020,6
155,5.857374,11.424600,6.570332,5
156,2.353157,8.599060,4.091397,6
157,1.492417,12.245574,4.428503,5
158,0.560813,11.552436,3.257300,6
