B_index,x_A,y_A,z_A,coordination_B
1,3.018360,11.793342,1.976009,3
2,13.314259,2.697550,0.302964,4
3,10.811045,1.015142,3.329945,5
4,4.287571,13.166085,7.759818,3
5,7.320929,9.594838,11.468115,4
6,10.305295,2.759720,3.696670,7
7,0.060185,11.042142,12.571936,5
8,9.957085,7.894868,12.346009,4
9,3.944259,2.310640,8.854491,6
10,3.242171,13.797715,12.900509,4
11,4.445529,0.615758,2.273445,5
12,2.461285,2.675988,12.303700,5
13,10.736965,8.113350,4.981791,3
14,6.871405,11.166798,10.584155,4
15,0.719326,13.381742,14.198464,3
16,1.975585,2.307842,9.729136,4
17,3.113985,10.968300,11.659055,4
18,9.510671,4.285258,11.855691,2
19,10.833400,13.476285,8.735709,6
20,7.205285,9.608931,5.390995,5
21,4.280985,3.847242,9.783364,6
22,9.309629,5.631473,9.100075,3
23,10.176485,12.974085,6.084109,4
24,13.770505,1.799180,6.306009,3
25,12.543044,13.132685,14.510264,4
26,3.836060,7.042442,8.346864,5
27,-0.102115,5.222100,7.479164,5
28,5.244885,2.006412,1.561036,5
29,12.814497,7.897927,0.079909,4
30,11.022274,10.816585,6.644785,5
31,11.956425,2.048242,0.911304,4
32,3.098629,7.724985,3.413018,3
33,13.917485,2.269803,13.445164,4
34,13.243956,4.280542,1.776109,3
35,14.092044,5.408085,12.806318,4
36,8.232744,9.342315,7.846609,4
37,8.318271,9.176918,3.877945,5
38,7.985356,3.245454,6.704036,4
39,2.497985,0.634558,5.665191,3
40,4.525685,10.842342,1.787527,4
41,13.560885,4.579527,3.499291,6
42,3.939641,4.988908,13.007900,3
43,9.678456,3.927685,6.708109,5
44,0.864869,14.168200,0.866209,5
45,12.296095,5.384073,4.452945,5
46,3.548844,11.221600,5.234850,4
47,8.831256,4.388885,14.769291,3
48,12.575074,11.454142,7.438609,4
49,5.421785,6.129015,2.457864,5
50,4.484220,4.429442,6.943009,3
51,5.857171,3.464142,0.222891,4
52,2.329285,5.867570,6.015530,4
53,3.182971,0.657642,11.619200,5
54,7.936280,12.981315,11.400165,5
55,1.509329,2.159320,8.206390,2
56,12.663156,10.427373,1.865345,5
57,6.383835,13.225185,0.677053,4
58,13.918130,14.243596,8.691595,6
59,0.085415,13.267885,4.534810,4
60,4.756171,6.637331,0.834973,4
61,10.231385,10.510508,11.123791,5
62,4.341410,4.895685,3.444145,4
63,1.913315,6.785831,7.423915,4
64,2.934290,7.487269,6.614236,4
65,12.309044,1.928485,12.714336,4
66,11.202844,5.110612,12.391055,3
67,8.058044,0.467242,1.981845,3
68,4.220571,2.895731,7.098990,4
69,7.129529,3.656742,5.384509,4
70,1.891280,0.282891,4.158164,3
71,0.156608,9.379631,12.660309,2
72,12.391700,9.214631,9.078691,4
73,6.288840,10.451585,6.292182,4
74,12.350729,5.691570,6.468555,6
75,13.178255,8.700715,1.711109,7
76,10.760585,9.528073,9.765982,4
77,13.520300,10.009558,4.646227,6
78,9.042160,7.649685,13.893805,4
79,1.177830,3.533773,13.285700,4
80,12.934771,0.229942,7.057070,5
81,7.966974,-0.043264,5.954260,4
82,1.044771,8.432127,8.993225,3
83,10.706271,10.258500,14.313827,3
84,5.379735,11.096015,14.303509,6
85,5.274285,4.988410,14.756191,4
86,5.925259,7.206885,11.443609,4
87,9.396445,5.632230,5.260927,4
88,6.777729,10.034115,-0.034336,5
89,9.679256,12.061173,9.009273,5
90,7.279944,12.381527,6.903036,6
91,1.085070,1.419142,1.780660,3
92,11.310774,4.291069,6.484382,4
93,10.646356,3.926815,1.754891,5
94,4.730420,0.608942,9.037891,6
95,1.758429,12.655673,1.562445,3
96,11.787371,6.900015,7.481982,5
97,2.688885,13.508400,7.929727,3
98,8.422844,7.844885,7.347180,3
99,4.218971,11.513612,3.449755,5
100,3.095385,6.613031,12.608155,4
101,0.887285,11.291885,9.448950,4
102,4.015944,12.011088,13.734809,5
103,8.084844,3.649740,1.159245,3
104,5.200671,14.100285,5.564755,5
105,9.429410,13.398642,12.040964,5
106,8.398329,5.143042,3.443190,3
107,9.505095,1.722142,14.402882,3
108,13.813056,6.367312,4.089955,5
109,12.716871,13.578469,1.318891,3
110,1.668859,1.328373,10.912964,4
111,4.312271,7.776615,12.192275,4
112,10.770688,0.252527,11.865682,4
113,9.961805,9.344815,4.334191,4
114,8.801088,1.241610,8.915625,3
115,6.701029,3.219685,11.168245,3
116,13.674859,0.278427,5.515209,5
117,13.031512,3.936088,7.632985,5
118,1.540450,3.995415,9.963418,2
119,4.201726,8.571730,8.930755,4
120,4.473585,11.388873,8.411560,3
121,12.121271,3.294515,8.818120,4
122,6.936544,12.889831,5.347336,5
123,11.155405,11.206668,12.793864,4
124,7.092588,8.366515,8.527955,4
125,7.349159,9.713915,13.456600,3
126,7.347240,8.197285,2.879145,5
127,12.364800,13.263542,7.921336,6
128,7.317544,8.428942,1.208291,4
129,7.404045,6.357931,2.863409,4
130,9.227256,12.051348,10.635764,5
131,8.083600,12.413685,3.888227,4
132,10.162329,6.715190,0.546836,4
133,10.089171,8.616708,10.912700,3
134,1.472329,9.639020,0.347664,3
135,3.764356,7.786342,0.185966,4
136,10.501685,4.440740,-0.061431,4
137,12.045455,3.812942,14.611991,4
138,5.580444,4.352158,4.563000,3
139,10.813871,6.557969,4.856880,3
140,13.523444,7.856515,9.842318,5
141,4.040785,9.421373,12.000100,4
142,8.491729,3.095827,11.522227,3
143,5.613610,12.333442,13.197036,5
144,3.462785,10.289931,13.381473,5
145,9.854185,0.081542,-0.097245,3
146,5.958441,2.694190,4.692355,5
147,10.842700,6.280820,9.006664,3
148,9.725271,12.814815,3.881090,5
149,7.540185,2.362720,8.105091,5
150,6.405685,5.881127,10.291527,4
151,11.561929,6.758315,12.477245,4
152,3.705526,0.580958,14.497966,3
153,13.467529,10.735200,8.786091,3
154,2.620570,4.348773,0.738409,3
155,1.162171,6.312318,-0.001418,4
156,12.792115,3.259390,10.476891,3
157,0.895829,11.669369,11.362609,5
158,4.013529,1.937812,12.450391,3
159,6.215965,13.739215,14.034255,5
160,8.907515,1.898085,10.399509,2
161,13.657944,11.146742,3.276000,6
162,0.642582,7.083348,10.712391,3
163,4.615741,12.678768,4.634464,4
164,7.830359,12.297185,9.683700,4
165,9.289541,1.072888,4.353555,5
166,1.007170,12.000000,0.223145,5
167,13.601788,4.834515,9.027330,5
168,6.821774,14.005217,7.130709,5
169,0.615256,12.613331,5.915091,4
170,5.853585,0.118173,10.285655,4
171,1.707429,2.765442,2.818390,4
172,12.320400,13.360527,10.021255,7
173,5.673485,8.066342,0.098118,4
174,8.372940,7.382215,0.494255,4
175,9.357629,10.715842,1.534170,2
176,6.242129,6.641108,6.518518,3
177,0.056385,0.761658,11.337864,4
178,1.003085,5.301712,4.960991,4
179,4.331120,12.193715,11.821055,6
180,12.981800,8.497308,7.630595,6
181,12.129415,3.983458,2.832555,6
182,11.462145,7.777327,1.134609,5
183,13.659685,6.431127,14.411100,3
184,6.171256,9.104142,3.904164,6
185,5.229385,5.973228,7.658555,5
186,11.029671,-0.066258,7.129082,5
187,12.647500,10.008800,6.238736,5
188,12.636129,5.684142,11.771609,3
189,6.036420,11.256800,1.214764,5
190,9.097880,10.706015,3.169655,5
191,3.437229,10.090685,8.094555,4
192,4.487344,8.581115,10.574836,5
193,12.644900,12.082015,2.166420,4
194,13.276200,6.819570,7.285864,5
195,1.299915,13.152827,8.910455,5
196,7.336356,1.947558,1.194880,5
197,12.457141,11.027900,11.623191,4
198,13.453585,0.824515,12.914864,4
199,4.731571,1.468773,5.225300,2
200,10.829756,2.971158,5.463655,4
201,1.053056,10.774238,3.994755,4
202,7.669275,6.337146,14.027391,3
203,2.264185,7.292327,14.323455,4
204,9.376110,12.900488,14.332355,5
205,0.947644,8.789588,1.880664,4
206,12.536329,6.601727,8.938605,6
207,4.016971,5.409042,8.734270,6
208,1.689329,4.714050,14.471355,3
209,10.716245,1.417527,13.321636,5
210,10.448500,0.730485,8.486009,5
211,5.859956,13.747488,3.326470,5
212,13.017465,0.772827,10.005491,6
213,9.501059,11.477031,0.151555,4
214,11.725929,1.967727,9.572895,5
215,1.861029,7.335015,2.159045,4
216,5.809000,2.088342,8.009591,6
217,10.298585,6.989442,2.374609,2
218,11.059471,12.643700,13.930600,5
219,12.593844,12.620342,3.914091,4
220,6.052920,3.162642,9.391345,6
221,2.402729,4.076431,2.495927,5
222,7.574115,2.139869,4.498709,4
223,11.998871,9.590631,0.491564,5
224,8.226588,6.826973,6.061110,3
225,12.782965,9.281542,3.131364,6
226,13.229600,12.300003,10.711136,4
227,13.385871,1.495997,4.304136,3
228,1.865271,5.634478,1.641045,4
229,1.783140,9.790070,7.968891,3
230,1.364685,12.599231,7.333755,4
231,4.232444,6.702915,3.914091,5
232,8.010305,6.444950,10.460409,3
233,6.873625,0.881048,13.157185,3
234,9.101529,12.019700,6.818335,6
235,8.015110,10.412385,6.778309,6
236,6.311159,11.076827,12.332382,6
237,3.884085,8.171608,5.120955,4
238,11.201085,12.674746,4.812091,3
239,5.663485,4.861115,9.184140,5
240,8.627241,4.583858,7.866364,3
241,4.569859,10.284342,6.862655,4
242,0.979718,3.850885,3.807336,4
243,8.025825,13.420842,13.110655,5
244,1.800615,5.087612,7.539736,3
245,3.765115,3.509042,11.672900,5
246,2.989356,4.864373,10.109000,4
247,0.955341,9.509769,5.164391,3
248,11.901385,8.525778,12.584336,2
249,6.470859,0.647715,8.377391,5
250,2.733659,1.973931,6.546640,3
251,2.310871,1.019231,0.059436,3
252,11.902900,2.380515,3.982545,5
253,6.974271,4.736754,14.131327,4
254,11.719871,0.507785,1.538655,3
255,11.207971,9.906850,5.426055,4
256,11.291385,0.403415,10.348045,6
257,6.370385,1.543285,3.037464,7
258,10.841900,2.945031,0.296991,5
259,9.805185,10.669427,8.144109,6
260,0.086559,13.533527,10.147282,7
261,4.803171,9.958388,3.401610,3
262,9.123385,3.651242,2.730991,4
263,2.108115,11.716185,5.613135,4
264,14.050929,7.819728,2.807045,6
265,6.267405,7.375798,3.792455,6
266,13.784200,11.890673,14.449882,5
267,11.853871,0.057340,13.479100,6
268,6.040441,7.674908,5.429736,5
269,2.806971,8.788242,14.331374,4
270,5.746812,8.792031,9.602991,4
271,6.608340,12.369373,2.677055,4
272,7.025110,7.997415,10.314209,6
273,5.056756,0.180342,0.687755,5
274,9.468474,-0.106227,2.831855,4
275,6.826485,1.002110,11.528482,3
276,1.186171,6.221727,12.138300,3
277,0.797271,10.538685,14.185867,5
278,13.594209,8.291058,4.622150,5
279,4.230471,13.754642,10.519965,4
280,2.741450,1.608450,3.553873,4
