B_index,x_A,y_A,z_A,coordination_B
1,6.356645,10.928923,14.708608,5
2,10.513555,9.388108,1.073908,5
3,5.410493,7.289290,13.454708,5
4,0.862893,9.624923,18.554522,4
5,-0.214222,-0.156846,7.203485,4
6,6.163070,0.855123,1.327623,5
7,7.161485,3.216323,16.007272,5
8,6.985930,0.559461,15.349569,6
9,2.675330,3.826139,9.037492,5
10,4.614415,8.669761,21.428485,3
11,10.368793,2.657780,16.053400,6
12,2.679115,2.267646,8.528192,5
13,8.576637,0.716199,14.099012,5
14,9.055993,9.434392,0.406823,5
15,6.232385,5.237660,4.945115,7
16,1.164478,3.577354,0.304372,5
17,9.646545,10.141423,18.690008,4
18,10.452540,1.254723,7.301515,3
19,1.071285,4.630892,19.885900,5
20,1.498893,10.257231,13.692700,5
21,2.431278,1.670631,17.675782,3
22,7.956722,11.200364,20.527485,5
23,4.716722,9.455127,16.458177,5
24,5.285067,0.055646,19.466208,3
25,3.705170,10.040715,0.617785,5
26,10.817530,0.877369,1.265792,5
27,10.013385,3.362640,11.841985,7
28,2.267770,9.751392,5.046177,5
29,10.265285,6.963184,19.570185,3
30,8.049378,6.427116,2.169715,3
31,0.356107,6.338546,17.049400,5
32,8.002845,7.691115,15.274952,6
33,0.922315,9.433369,0.704608,4
34,9.578630,1.173923,2.370823,5
35,10.476457,7.582546,10.863900,4
36,5.648930,10.563323,11.846892,4
37,0.155093,8.188431,19.782200,5
38,6.618737,3.409615,9.131708,5
39,1.167593,2.496123,12.713000,4
40,1.031785,6.666308,3.259630,4
41,1.487285,4.180254,5.166785,5
42,1.479193,1.283354,20.456769,4
43,10.564415,1.730946,18.817922,4
44,0.252537,9.206038,2.469408,4
45,6.310022,3.990547,19.402308,6
46,4.352850,0.662423,13.766915,3
47,4.935630,9.924692,14.882315,5
48,2.214263,10.614100,19.225582,3
49,2.197278,2.993784,21.077677,6
50,-0.208363,8.143592,16.328515,4
51,2.904970,3.582554,7.374808,4
52,6.384870,7.903523,-0.188508,5
53,9.330985,8.703592,19.655000,4
54,8.741863,3.650177,15.268008,7
55,9.441378,7.791108,9.545208,2
56,1.616970,2.987654,6.368885,4
57,4.368627,8.523108,14.057408,5
58,8.163382,6.095597,4.793992,5
59,1.851070,0.508887,18.859042,4
60,8.301315,2.120727,1.951692,4
61,6.103778,9.497410,2.818615,5
62,9.332597,6.068846,3.741785,5
63,5.870385,2.473223,6.404185,6
64,6.818737,6.901940,9.052708,4
65,4.060380,4.307192,10.148200,5
66,0.323222,0.373385,10.627015,4
67,1.958233,10.702237,0.552515,5
68,1.090615,5.188417,9.282610,4
69,-0.098585,10.743500,13.856277,7
70,1.457063,5.254923,0.367059,7
71,9.537260,5.159554,5.330400,5
72,1.300285,6.594546,6.157308,4
73,8.067463,4.155492,8.367877,5
74,7.382960,9.809231,10.408000,3
75,7.332863,0.379569,17.295408,5
76,10.679622,3.372600,17.749432,5
77,0.561215,4.617454,14.702732,6
78,-0.200393,6.332792,0.207023,5
79,3.520393,7.724646,3.158092,6
80,5.738870,5.211423,20.697232,5
81,2.119663,4.482908,17.250885,2
82,4.317110,6.994623,9.445620,4
83,2.233500,11.321962,9.102985,5
84,4.165637,1.391246,18.138615,4
85,7.061985,5.429238,9.008277,6
86,5.295685,0.953746,8.926050,7
87,5.878970,4.353762,11.848200,4
88,8.873685,1.651785,6.993592,3
89,10.768363,6.216580,14.055962,4
90,4.949030,11.166923,15.741300,4
91,10.259293,4.554369,21.632300,5
92,2.635378,8.994530,12.920985,6
93,7.611210,9.917131,2.522792,4
