B_index,x_A,y_A,z_A,coordination_B
1,2.010294,1.156457,2.134802,6
2,3.055512,2.856343,14.005935,7
3,10.024559,1.795243,8.884935,6
4,13.492759,13.411407,4.631765,5
5,3.365047,8.929214,6.098935,5
6,3.043994,0.832528,3.893267,7
7,4.419847,11.390686,6.209833,7
8,9.075806,6.064143,8.667598,7
9,8.529406,6.958670,10.234500,7
10,15.400594,7.915929,4.501898,6
11,5.871106,5.364190,9.181698,6
12,4.937641,2.934357,3.351865,4
13,7.272070,0.418643,2.827767,6
14,2.457488,6.467786,5.200002,7
15,14.954112,3.510280,5.102333,5
16,7.541359,4.813830,4.019869,6
17,14.652494,11.217543,8.093865,4
18,2.937206,12.719229,3.377698,6
19,5.069141,14.399314,6.356235,4
20,8.368394,17.219500,9.679435,5
21,1.052659,7.258271,6.737030,6
22,2.396650,10.449367,2.687796,5
23,1.412000,1.549357,8.551277,6
24,8.587147,15.748497,3.705469,6
25,2.322753,10.413928,6.244807,5
26,11.613553,8.479414,8.677702,6
27,5.711894,3.733472,13.892802,6
28,5.462259,5.832786,5.840965,6
29,0.527006,6.550620,3.903367,7
30,14.968749,4.430350,1.487065,6
31,1.427247,3.505940,12.492469,6
32,7.168659,12.904343,2.977067,6
33,3.842394,17.663859,8.580233,5
34,8.140647,4.099371,6.759698,7
35,8.906810,7.008043,5.655302,6
36,6.528794,3.381928,4.145529,6
37,5.808359,7.177150,4.114165,5
38,1.664520,10.438672,7.815610,4
39,7.281035,8.111437,3.481065,5
40,7.499590,5.396257,1.707665,4
41,4.128588,10.878300,1.565033,7
42,6.922247,3.127628,5.919402,7
43,3.365806,7.005186,13.063902,4
44,13.554200,8.977387,11.649635,4
45,0.956041,5.552757,5.742633,6
46,14.867912,0.304477,4.834465,6
47,4.195106,13.715443,3.899760,5
48,6.379794,0.820632,1.235180,6
49,5.813494,17.242286,12.887535,5
50,7.347080,14.591500,7.419735,4
51,2.384947,13.188157,10.648669,6
52,2.269647,2.212728,4.927769,5
53,14.131588,10.522928,12.152365,4
54,8.297370,1.420729,1.616467,6
55,0.822812,6.214157,0.548867,5
56,4.117280,17.557643,2.351235,6
57,4.050588,5.609757,0.084398,4
58,9.712047,16.530072,8.876435,4
59,9.029147,0.469614,8.566765,4
60,10.220206,13.891514,2.174267,5
61,0.524759,14.072543,6.281202,6
62,4.147153,7.194129,11.587600,4
63,15.261406,10.959543,1.126633,6
64,10.662065,5.662314,1.040165,7
65,10.400618,0.540957,3.114798,6
66,12.400843,5.718040,0.676001,6
67,12.769800,5.001886,11.801407,6
68,12.579859,5.035843,5.249537,6
69,9.296480,4.561643,4.132035,6
70,10.261259,7.149728,1.882665,6
71,8.933694,0.124943,2.381150,5
72,11.486859,7.141543,0.521179,6
73,12.815365,4.750243,13.679169,5
74,13.254306,4.296660,8.474387,6
75,14.067347,2.786843,1.579765,6
76,1.915150,1.749357,11.362164,8
77,2.177094,5.702386,1.604967,5
78,13.056300,7.220757,1.239767,6
79,13.492212,1.571886,5.519620,6
80,7.661341,7.923186,6.599467,6
81,9.726906,9.420586,5.052150,6
82,15.284202,17.301882,3.254380,5
83,10.256365,7.650186,4.667169,6
84,13.706359,6.258000,6.250035,6
85,11.959141,8.291714,2.066898,6
86,14.689441,12.665643,13.875635,5
87,2.480988,16.267457,13.003633,4
88,3.677553,4.040857,3.960731,5
89,12.172400,17.208807,13.983300,6
90,4.265294,4.109314,13.338365,5
91,13.803194,8.094043,3.987798,6
92,12.084506,2.957814,1.602665,6
93,11.243006,4.278443,5.929898,6
94,12.761794,7.230180,2.933933,6
95,8.441373,5.367729,5.438233,6
96,13.206859,5.545170,2.195702,7
97,11.739223,5.897171,6.436065,6
98,2.539188,7.482243,3.941265,5
99,14.079941,4.710786,5.781235,6
100,2.138006,1.217157,6.634030,6
101,12.927141,3.297628,5.500498,7
102,4.810606,8.401372,6.542335,5
103,9.659547,3.988628,5.780260,6
104,14.946776,0.594452,13.875369,3
105,11.096347,7.060643,3.484367,6
106,5.073559,2.206080,5.842433,7
107,12.268494,5.670828,3.706935,6
108,11.835547,4.552680,2.060698,6
109,9.188900,2.821672,4.545965,6
110,10.591594,5.521810,3.028133,6
111,12.090623,3.218443,7.577398,5
112,6.892059,17.627614,6.130831,3
113,9.393770,9.608172,9.963465,4
114,10.951047,9.029243,10.155433,6
115,9.624788,11.152107,2.261867,4
116,15.312447,5.197350,2.909967,6
117,15.118459,1.486140,8.468665,6
118,15.075047,5.368857,-0.038233,3
119,9.137788,3.280543,9.344798,5
120,15.330388,17.629971,6.422133,6
121,9.842550,4.747943,12.746833,6
122,6.277547,0.206857,10.098300,5
123,8.316059,8.270120,4.919760,6
124,0.521206,7.748743,1.207835,6
125,13.994443,1.753657,13.088436,5
126,10.448733,1.914014,4.202931,6
127,10.553443,7.101143,6.347235,6
128,5.382294,11.038543,4.403202,6
129,4.163153,4.250143,2.249498,6
130,8.455430,3.939486,13.647237,6
131,4.274880,13.472800,2.083198,7
132,6.426947,15.183986,5.808307,3
133,6.730940,8.816490,10.962247,3
134,3.484353,8.369177,0.147702,5
135,8.698900,1.013057,11.292764,5
136,2.086053,15.915887,3.831698,6
137,1.254694,17.763743,1.921567,6
138,2.823250,16.261029,2.142433,6
139,14.217912,13.677629,6.211998,4
140,6.877606,12.030828,1.172835,6
141,0.064994,11.552514,9.490735,4
142,5.707194,13.868300,3.370700,5
143,12.269200,9.988843,9.279927,6
144,14.434723,14.036900,0.930233,6
145,6.953547,11.820114,9.766569,4
146,13.617206,10.538028,5.576465,5
147,7.895706,12.867247,12.514447,5
148,2.826794,-0.102529,1.182569,6
149,14.659741,8.738243,12.947635,5
150,4.689906,15.326843,8.808165,5
151,10.758173,11.377228,6.798065,5
152,3.930559,14.179428,7.756635,5
153,6.791806,15.049400,4.254177,4
154,11.243373,12.279743,11.006987,3
155,6.930106,12.048407,7.060698,5
156,5.902006,17.408872,2.034467,6
157,1.697006,13.265629,5.435497,6
158,5.736882,16.082817,0.035433,4
159,14.424113,1.105410,6.945987,6
160,6.997347,16.093900,1.258398,5
161,11.411200,15.536187,5.270664,7
162,8.091694,12.961643,6.269535,5
163,14.859806,9.331017,3.335760,6
164,5.043541,8.628017,8.360835,5
165,3.009947,14.871843,13.545502,7
166,4.053447,17.613872,4.502831,5
167,7.157940,7.836114,0.065367,5
168,7.764688,11.460500,5.546065,6
169,5.454860,0.546057,5.334933,5
170,11.318812,1.836910,0.325635,4
171,6.026159,13.440843,1.774136,5
172,7.694260,2.151843,4.828865,6
173,10.653388,13.924000,13.326835,5
174,3.312453,1.415620,12.899200,7
175,9.906441,9.843240,6.672035,5
176,6.575123,16.647900,10.129135,6
177,14.527094,17.813694,7.936302,6
178,1.238580,4.212357,6.979098,4
179,5.188720,12.208672,1.023520,6
180,5.746147,4.894243,1.194167,5
181,10.822773,16.848900,7.588233,4
182,7.210360,10.779667,8.352247,6
183,10.327983,15.742672,2.664333,5
184,7.189559,6.448157,3.286469,5
185,2.864188,16.299297,5.453736,6
186,10.814983,10.773072,9.830731,6
187,1.236747,13.220777,3.235165,5
188,14.173847,16.505237,5.281902,5
189,14.714732,14.948528,5.060871,6
190,12.591306,2.911643,-0.082265,7
191,4.240353,6.183660,1.885750,7
192,0.662447,15.813914,2.622802,7
193,14.426200,15.844477,3.726898,6
194,14.938634,1.942243,4.496233,5
195,4.120059,7.221586,3.357733,6
196,12.049206,-0.008028,1.961735,8
197,8.049863,12.580129,0.078724,6
198,12.320588,14.536400,13.439835,4
199,13.146506,1.881186,2.597964,5
200,9.736141,1.240257,0.138169,5
201,5.497388,10.197743,9.193427,6
202,5.022359,9.595590,2.037620,5
203,2.375847,17.553165,4.758435,5
204,11.589606,1.791657,2.772164,6
205,13.364800,17.244259,2.727260,5
206,12.491965,12.062937,4.742410,5
207,1.960835,13.432043,12.791635,6
208,4.763670,13.860087,12.703765,5
209,11.937212,0.505114,5.294533,6
210,13.183712,13.837947,2.011269,6
211,5.406347,2.709114,10.911033,5
212,12.591000,14.542527,7.706631,3
213,4.209094,12.091243,4.548798,6
214,2.588947,9.525514,4.523607,6
215,12.696400,9.035586,5.496080,6
216,14.372306,7.690757,0.143167,5
217,0.937847,14.570600,4.486233,7
218,13.404483,8.854428,8.624933,7
219,13.207763,9.888220,3.873065,6
220,3.897140,11.686100,0.239018,4
221,10.983100,8.712772,5.872831,6
222,1.423420,10.403372,1.485510,5
223,1.641412,17.800795,6.207210,6
224,8.169294,17.407314,3.952135,6
225,11.309400,7.486271,9.951165,6
226,14.572906,15.616527,0.082704,7
227,11.757800,14.016672,4.755370,6
228,13.843300,14.041300,13.373202,7
229,0.219706,12.428200,6.322498,4
230,10.271800,12.419927,12.565433,3
231,7.883160,7.186214,1.909367,5
232,0.316953,14.887043,1.227435,4
233,14.598006,9.622714,0.214533,5
234,8.487194,9.012943,-0.013935,5
235,9.706980,6.570757,12.803764,7
236,3.346412,13.098743,12.044717,6
237,4.710653,5.352920,7.725502,6
